"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"59","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213201","1820.5625","2558.5625","32.1875","97.9375"
"60","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213210","1062.625","1376.8125","69.875","174.6875"
"61","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213220","1822.625","3031.625","175.625","187.875"
"62","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215010","223.5625","547.875","177.8125","532.25"
"63","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215011","656.125","55.9375","152.3125","748.8125"
"64","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215020","306.5625","70.5625","201.3125","585.6875"
"65","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215031","413.3125","68","177.3125","347.75"
"66","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215032","441.1875","905.375","21.0625","131.1875"
"67","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215040","636.1875","298","601.5","957.5"
"68","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215050","74.3125","6.0625","105.125","145.9375"
"69","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215051","123.0625","33.8125","1361.5625","239.75"
"70","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215060","245.5","186.1875","2478.5625","593.875"
"71","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215070","272.125","424.6875","2592","670.875"
"72","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215071","1959.5625","1986","130.5","251.625"
"73","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215072","127.8125","25.125","929.5625","322.375"
"74","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215081","3000.1875","1821.4375","61.6875","143.8125"
"75","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215082","3580.375","1315.125","246.1875","279.5625"
"76","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215090","1179.4375","1139.375","1128.8125","582.1875"
"77","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215100","1359.25","1452.875","808.25","516.125"
"78","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215111","143.5","75.3125","1713.9375","481.25"
"79","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215112","290.75","58.8125","356.625","643.1875"
"80","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215113","379.375","42.5","908.9375","895.25"
"81","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215120","464","772.25","1623.5625","647.8125"
"82","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215130","4037.625","2239.5625","98.4375","830.6875"
"83","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215140","1432.625","1797.25","996.125","215.0625"
"84","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215150","479.25","609.875","281.625","699.4375"
"85","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215151","926.0625","541","41.375","388.3125"
"86","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215160","2563.375","1937.75","100.375","735.75"
"87","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215161","2790.4375","1246.4375","144.8125","1058.875"
"88","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215170","498.1875","3424.3125","7.4375","180.6875"
"89","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215180","189.8125","573.75","0","0"
"90","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215190","178.6875","1430.6875","0","0"
"91","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215200","130.1875","840.6875","0","3.875"
"92","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212010","637.5","128","1748.9375","1870.375"
"93","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212011","1580.375","56.0625","439","5933.25"
"94","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212020","2924.5","105.875","873.3125","6131.75"
"95","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212030","2609.4375","401.75","2335.75","884.4375"
"96","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212040","559.875","110.125","1996.8125","1427.375"
"97","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212041","1926.25","243.8125","1896.75","3168.1875"
"98","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212050","255.875","217.0625","3759.625","464.1875"
"99","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212060","1310","396.125","655.25","1232.5625"
"100","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212061","1360.5","536.5625","166.75","1612.875"
"101","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212070","506.375","228.4375","1424.5625","853.3125"
"102","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212080","227.25","278.625","1583.25","388.75"
"103","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212081","406.75","231.125","1041.75","556.5"
"104","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212090","1021.125","3551.5","20.5","14.75"
"105","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212100","974","596.4375","333","151.75"
"106","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212101","541.5","495.6875","1030.5625","223.0625"
"107","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212110","795.3125","956.6875","1838.375","89.5"
"108","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212120","1513.75","1289.6875","1626.0625","166.3125"
"109","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212130","713.0625","809.5625","950.4375","124.3125"
"110","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212140","516.9375","519.3125","41.25","3.25"
"111","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212150","709.9375","690.5625","238.9375","62.75"
"112","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212160","143.8125","47.875","1007.0625","172"
"113","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212161","67.1875","81.4375","531.5","11"
"114","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212162","13.0625","47.5625","518.75","14.125"
"115","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212170","252.8125","701","1442.9375","67.4375"
"116","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212171","428.6875","1000.5625","486.25","33.3125"
"117","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212180","993.0625","917.125","2873.4375","270.25"
"118","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212190","2178.375","2374.625","871.25","510.5625"
"119","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212200","678.875","828.1875","2089.3125","228.3125"
"120","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212210","1543.5","2721.75","1816.125","320.3125"
"121","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212220","2030.1875","1221.75","62.875","28.6875"
"122","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212221","1653.4375","733.5","69.9375","51.8125"
"123","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213010","624.125","25.75","61.6875","210.625"
"124","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213011","958","122.25","89.5","384.75"
"125","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213020","315.1875","27.1875","58.75","157"
"126","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213021","699.125","24.75","32.8125","167"
"127","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213030","932.875","53","114.1875","184.5"
"128","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213031","506.375","19.5","78","64.4375"
"129","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213040","637.875","15.9375","249.3125","340.75"
"130","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213050","1583.9375","45.0625","107.4375","489.1875"
"131","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213060","1014.875","60.4375","101.3125","758.375"
"132","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213070","748.3125","60.9375","58.6875","399.875"
"133","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213080","1251.1875","217.25","281.125","727.0625"
