"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","VEG.REPRO.corr","VEG.REPRO.lag","VEG.RIPE.corr","VEG.RIPE.lag","REPRO.RIPE.corr","REPRO.RIPE.lag","VEG.planting.corr","VEG.planting.lag","VEG.harvested.corr","VEG.harvested.lag","REPRO.harvested.corr","REPRO.harvested.lag","RIPE.harvested.corr","RIPE.harvested.lag","planting.harvested.corr","planting.harvested.lag"
"1","JAWA BARAT","INDRAMAYU","HAURGEULIS",3212010,0.804332874952787,-3,0.51375263466111,-6,0.592909943605628,-3,0.56778788549251,0,0.642974951512969,-7,0.750177493665316,-3,0.570939099529164,0,0.680162322502297,-7
"2","JAWA BARAT","INDRAMAYU","GANTAR",3212011,0.790118963068203,-3,0.538784760606848,-6,0.458942773665062,-3,0.102466752904906,0,0.665067380061185,-7,0.636769790830536,-3,0.678450109045376,-1,0.458559991700026,-9
"3","JAWA BARAT","INDRAMAYU","KROYA",3212020,0.767251320076204,-3,0.498485471174801,-6,0.51509772425596,-2,0.424601730500927,0,0.657621875038064,-7,0.666448786065102,-3,0.638550716155268,0,0.424522544406579,-8
"4","JAWA BARAT","INDRAMAYU","GABUSWETAN",3212030,0.788006913285231,-4,0.575139626510245,-6,0.636264710415376,-3,0.630890038454124,0,0.637913111638297,-7,0.68193918324536,-3,0.580618388046147,0,0.72020944036854,-7
"5","JAWA BARAT","INDRAMAYU","CIKEDUNG",3212040,0.822640281965998,-4,0.505341826161087,-7,0.498026616646836,-3,0.762719729729372,0,0.575708965276808,-7,0.656465085469186,-4,0.523791993366931,-1,0.707403753723671,-7
"6","JAWA BARAT","INDRAMAYU","TERISI",3212041,0.835805030423127,-3,0.464092652674539,-6,0.460337559679473,-3,0.652841920292594,0,0.706108549252287,-7,0.749160832960618,-4,0.560132389111656,-1,0.732584623671844,-7
"7","JAWA BARAT","INDRAMAYU","LELEA",3212050,0.802605767747949,-4,0.486982033082259,-7,0.553951998166123,-3,0.652162359455928,0,0.613577088917072,-8,0.622769343224665,-5,0.608939549964372,-2,0.490438879265857,-9
"8","JAWA BARAT","INDRAMAYU","BANGODUA",3212060,0.740606365947361,-4,0.52761158969747,-7,0.544296658177428,-3,0.687520352086553,0,0.646817401375474,-8,0.649820463789102,-4,0.768553100376539,0,0.574529593063535,-8
"9","JAWA BARAT","INDRAMAYU","TUKDANA",3212061,0.629317996642737,-4,0.597346096390901,-7,0.607626911140494,-3,0.584886769432971,0,0.61703586180855,-8,0.647058742147775,-4,0.817571528785872,-1,0.498253327464984,-7
"10","JAWA BARAT","INDRAMAYU","WIDASARI",3212070,0.781511437439324,-4,0.592755698380893,-7,0.600178302563983,-3,0.687321289295673,0,0.550682831414132,-8,0.542702672473944,-4,0.721720818028423,-1,0.55538334111529,-8
"11","JAWA BARAT","INDRAMAYU","KERTASEMAYA",3212080,0.611832191551211,-4,0.512477752247076,-7,0.731938754391679,-3,0.350486142154673,0,0.5601319325316,-8,0.743126558006529,-4,0.716921427346591,-1,0.473841981110765,-8
"12","JAWA BARAT","INDRAMAYU","SUKAGUMIWANG",3212081,0.6980285423184,-4,0.485729161508128,-7,0.621098394904131,-3,0.511208174759896,0,0.480792646559672,-9,0.499833037958973,-4,0.644754855295656,-1,0.513896977383424,-9
"13","JAWA BARAT","INDRAMAYU","KRANGKENG",3212090,0.67038950180908,-4,0.71921806051774,-7,0.656981926364772,-3,0.474496567108294,0,0.636935642934682,-9,0.754363104160754,-4,0.717304504679361,-1,0.428920827057808,-9
"14","JAWA BARAT","INDRAMAYU","KARANGAMPEL",3212100,0.628588555860396,-4,0.51439199390532,-7,0.770781881881914,-3,0.573890583536291,0,0.625963276127816,-8,0.61613702334163,-4,0.637978892040566,-1,0.591883703673982,-8
"15","JAWA BARAT","INDRAMAYU","KEDOKAN BUNDER",3212101,0.668392433331655,-4,0.438156644531873,-7,0.680157504452644,-3,0.647236284587619,0,0.541265455712299,-8,0.568352005778324,-5,0.646056949838049,-1,0.445745333676476,-7
