"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.899441340782123,0.901303538175047,0.752336448598131,0.964143426294821,0.752336448598131,0.899441340782123,0.819338422391858,0.25,0.224860335195531,0.298882681564246,0.900372439478585
"Class: 2",0.720670391061452,0.985102420856611,0.941605839416058,0.913644214162349,0.941605839416058,0.720670391061452,0.816455696202532,0.25,0.180167597765363,0.191340782122905,0.852886405959032
"Class: 3",0.82122905027933,0.947858472998138,0.84,0.940850277264325,0.84,0.82122905027933,0.830508474576271,0.25,0.205307262569832,0.244413407821229,0.884543761638734
"Class: 4",0.916201117318436,0.951582867783985,0.863157894736842,0.97148288973384,0.863157894736842,0.916201117318436,0.888888888888889,0.25,0.229050279329609,0.26536312849162,0.93389199255121
