"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.357541899441341,0.80074487895717,0.374269005847953,0.788990825688073,0.374269005847953,0.357541899441341,0.365714285714286,0.25,0.0893854748603352,0.238826815642458,0.579143389199255
"Class: 2",0.290502793296089,0.759776536312849,0.287292817679558,0.762616822429906,0.287292817679558,0.290502793296089,0.288888888888889,0.25,0.0726256983240224,0.252793296089385,0.525139664804469
"Class: 3",0.374301675977654,0.793296089385475,0.376404494382023,0.79182156133829,0.376404494382022,0.374301675977654,0.375350140056022,0.25,0.0935754189944134,0.248603351955307,0.583798882681564
"Class: 4",0.368715083798883,0.776536312849162,0.354838709677419,0.786792452830189,0.354838709677419,0.368715083798883,0.361643835616438,0.25,0.0921787709497207,0.259776536312849,0.572625698324022
