"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.899441340782123,0.918063314711359,0.785365853658537,0.964774951076321,0.785365853658537,0.899441340782123,0.838541666666667,0.25,0.224860335195531,0.286312849162011,0.908752327746741
"Class: 2",0.787709497206704,0.981378026070764,0.933774834437086,0.932743362831858,0.933774834437086,0.787709497206704,0.854545454545454,0.25,0.196927374301676,0.210893854748603,0.884543761638734
"Class: 3",0.826815642458101,0.94413407821229,0.831460674157303,0.942379182156134,0.831460674157303,0.826815642458101,0.829131652661064,0.25,0.206703910614525,0.248603351955307,0.885474860335196
"Class: 4",0.888268156424581,0.957169459962756,0.873626373626374,0.962546816479401,0.873626373626374,0.888268156424581,0.880886426592798,0.25,0.222067039106145,0.254189944134078,0.922718808193669
