"","x"
"Accuracy",0.339385474860335
"Kappa",0.119180633147114
"AccuracyLower",0.304727340532664
"AccuracyUpper",0.375373732153852
"AccuracyNull",0.25
"AccuracyPValue",5.6282866519576e-08
"McnemarPValue",0.552622807029826
