"","paddy_raster_df","Freq"
"1","101",12600.6875
"2","102",6777.5625
"3","103",3552.75
"4","104",52432.125
"5","201",1788.9375
"6","202",16283.3125
"7","203",10312.4375
"8","204",5971.9375
"9","301",3699.4375
"10","302",440.3125
"11","303",13395.5
"12","304",19959.5
"13","401",19863.5625
"14","402",16145.6875
"15","403",2821.5625
"16","404",122044.5
