"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","VEG.REPRO.corr","VEG.REPRO.lag","VEG.RIPE.corr","VEG.RIPE.lag","REPRO.RIPE.corr","REPRO.RIPE.lag","VEG.planting.corr","VEG.planting.lag","VEG.harvested.corr","VEG.harvested.lag","REPRO.harvested.corr","REPRO.harvested.lag","RIPE.harvested.corr","RIPE.harvested.lag","planting.harvested.corr","planting.harvested.lag"
"1","JAWA BARAT","INDRAMAYU","HAURGEULIS",3212010,0.715618820438665,-4,0.342585124565456,-6,0.548387611263795,-3,0.508511984379414,0,0.598467009349998,-7,0.632504249474369,-2,0.571383243183835,0,0.680162322502297,-7
"2","JAWA BARAT","INDRAMAYU","GANTAR",3212011,0.655028571675126,-3,0.378871817447104,-6,0.370531141719336,-3,0.00598905559876228,0,0.555973427545943,-6,0.706225141881136,-3,0.669059282587156,-1,0.458559991700026,-9
"3","JAWA BARAT","INDRAMAYU","KROYA",3212020,0.521645005722713,-3,0.467439313318915,-6,0.486056780387097,-1,0.236785496863714,0,0.575420065654925,-6,0.658326362359377,-3,0.705114071292633,-1,0.424522544406579,-8
"4","JAWA BARAT","INDRAMAYU","GABUSWETAN",3212030,0.684759022084925,-3,0.422671883395659,-6,0.551877827142198,-3,0.411883032733291,0,0.52755384948198,-6,0.595815927835903,-3,0.505670342513163,0,0.72020944036854,-7
"5","JAWA BARAT","INDRAMAYU","CIKEDUNG",3212040,0.69017079810378,-3,0.534671894594427,-6,0.670452241922024,-2,0.579278800555798,0,0.484790994738998,-7,0.730564650317429,-4,0.567763518271839,-1,0.707403753723671,-7
"6","JAWA BARAT","INDRAMAYU","TERISI",3212041,0.635623973511508,-3,0.458912278911165,-6,0.59271789123277,-1,0.468340049501865,0,0.604153934802919,-7,0.661675321335121,-4,0.431805601035271,-2,0.732584623671844,-7
"7","JAWA BARAT","INDRAMAYU","LELEA",3212050,0.72906425595041,-3,0.463593347379099,-6,0.764091810239788,-3,0.385193008263547,0,0.477584504020178,-8,0.676647725259843,-5,0.753773507801765,-2,0.490438879265857,-9
"8","JAWA BARAT","INDRAMAYU","BANGODUA",3212060,0.536969420540434,-3,0.296387043848024,-6,0.667325476110707,-3,0.48114156245432,0,0.312135724722927,-9,0.65457536275977,-4,0.824695600570209,-2,0.574529593063535,-8
"9","JAWA BARAT","INDRAMAYU","TUKDANA",3212061,0.353522564328082,-4,0.241065389830274,-6,0.701336051257742,-2,0.311498881867912,0,0.253930845482276,-9,0.629876646016257,-4,0.708818205498715,-2,0.498253327464984,-7
"10","JAWA BARAT","INDRAMAYU","WIDASARI",3212070,0.753129602967059,-3,0.424688004865486,-7,0.685266016416042,-3,0.473601460524223,0,0.322514644199271,-7,0.603723642357014,-4,0.818169655898994,-2,0.55538334111529,-8
"11","JAWA BARAT","INDRAMAYU","KERTASEMAYA",3212080,0.608093777617213,-4,0.43525296298737,-6,0.711599918813642,-2,0.233004019787215,0,0.556900759908182,-7,0.657054000244459,-4,0.739846598461699,-2,0.473841981110765,-8
"12","JAWA BARAT","INDRAMAYU","SUKAGUMIWANG",3212081,0.612238819818596,-3,0.302780269402205,-6,0.573166367467602,-2,0.256626691174252,0,0.425319512465458,-7,0.506821092216564,-5,0.776254799307337,-2,0.513896977383424,-9
"13","JAWA BARAT","INDRAMAYU","KRANGKENG",3212090,0.675944684664767,-4,0.610710320535131,-6,0.684837074874917,-2,0.255086713771711,0,0.531324009949633,-8,0.726864086255566,-4,0.655003886352642,-3,0.428920827057808,-9
"14","JAWA BARAT","INDRAMAYU","KARANGAMPEL",3212100,0.534208117994114,-4,0.255522597600168,-6,0.741136641737409,-3,0.488126806816578,0,0.461075454874072,-7,0.634791472953208,-3,0.568129299001377,-2,0.591883703673982,-8
"15","JAWA BARAT","INDRAMAYU","KEDOKAN BUNDER",3212101,0.606870047885564,-4,0.399182666706008,-6,0.598284777278673,-3,0.516346750685573,0,0.440121554305554,-9,0.504450189069861,-4,0.694920683666048,-2,0.445745333676476,-7
"16","JAWA BARAT","INDRAMAYU","JUNTINYUAT",3212110,0.622188437084816,-3,0.378815445295546,-6,0.771578773986239,-2,0.535839006870645,0,0.433654098562309,-7,0.717836481984453,-3,0.802629624761876,-1,0.565276254619793,-8
"17","JAWA BARAT","INDRAMAYU","SLIYEG",3212120,0.620363462126074,-3,0.421716798602069,-6,0.678306012661071,-3,0.614233082136141,0,0.528008533505487,-7,0.657508008249524,-3,0.718661033872103,-1,0.617283586870585,-8
"18","JAWA BARAT","INDRAMAYU","JATIBARANG",3212130,0.576870359006887,-3,0.422876947565627,-6,0.747182411174058,-3,0.592125337003514,0,0.490983172195103,-8,0.596087393706235,-5,0.735176843385573,-2,0.605914729553207,-8
"19","JAWA BARAT","INDRAMAYU","BALONGAN",3212140,0.627170677082488,-3,0.498473247415892,-6,0.797136091477546,-2,0.646541388110495,0,0.542509904064892,-7,0.650096544231129,-4,0.778209211218659,-1,0.640142080098814,-7
"20","JAWA BARAT","INDRAMAYU","INDRAMAYU",3212150,0.524699698039709,-4,0.363962206076216,-6,0.691147593395574,-2,0.534377387843953,0,0.444056664539697,-7,0.57875554036784,-4,0.638601619864111,-2,0.68530362751724,-8
