"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"88","JAWA BARAT","KARAWANG","CIBUAYA",3215170,3215,2017,"JANUARI","2017-01","'2017-01-12",498.1875,3424.3125,7.4375,180.6875,4110.625,0,300,4416,4771.50797641596,1.08050452364492
"89","JAWA BARAT","KARAWANG","TIRTAJAYA",3215180,3215,2017,"JANUARI","2017-01","'2017-01-12",189.8125,573.75,0,0,763.5625,55,0,5658,5061.17397415128,0.894516432334974
"90","JAWA BARAT","KARAWANG","BATUJAYA",3215190,3215,2017,"JANUARI","2017-01","'2017-01-12",178.6875,1430.6875,0,0,1609.375,70,0,4931,4881.18633072389,0.989897856565381
"91","JAWA BARAT","KARAWANG","PAKISJAYA",3215200,3215,2017,"JANUARI","2017-01","'2017-01-12",130.1875,840.6875,0,3.875,974.75,819,0,3166,3012.51302481257,0.951520222619259
"92","JAWA BARAT","INDRAMAYU","HAURGEULIS",3212010,3212,2017,"JANUARI","2017-01","'2017-01-24",637.5,128,1748.9375,1870.375,4384.8125,0,624,3978,4402.86213902765,1.10680295098734
"93","JAWA BARAT","INDRAMAYU","GANTAR",3212011,3212,2017,"JANUARI","2017-01","'2017-01-24",1580.375,56.0625,439,5933.25,8008.6875,0,0,5796,8058.97923604531,1.39043810145709
"94","JAWA BARAT","INDRAMAYU","KROYA",3212020,3212,2017,"JANUARI","2017-01","'2017-01-24",2924.5,105.875,873.3125,6131.75,10035.4375,0,0,6916,10063.7842122026,1.45514520130171
"95","JAWA BARAT","INDRAMAYU","GABUSWETAN",3212030,3212,2017,"JANUARI","2017-01","'2017-01-24",2609.4375,401.75,2335.75,884.4375,6231.375,0,0,5950,6240.5684861788,1.04883503969392
"96","JAWA BARAT","INDRAMAYU","CIKEDUNG",3212040,3212,2017,"JANUARI","2017-01","'2017-01-24",559.875,110.125,1996.8125,1427.375,4094.1875,0,0,5671,4120.33808273943,0.72656287828239
"97","JAWA BARAT","INDRAMAYU","TERISI",3212041,3212,2017,"JANUARI","2017-01","'2017-01-24",1926.25,243.8125,1896.75,3168.1875,7235,0,0,5099,7296.95292628421,1.43105568273862
"98","JAWA BARAT","INDRAMAYU","LELEA",3212050,3212,2017,"JANUARI","2017-01","'2017-01-24",255.875,217.0625,3759.625,464.1875,4696.75,0,0,5000,4708.56003908496,0.941712007816992
"99","JAWA BARAT","INDRAMAYU","BANGODUA",3212060,3212,2017,"JANUARI","2017-01","'2017-01-24",1310,396.125,655.25,1232.5625,3593.9375,0,1070,3219,3601.47475103944,1.11881787854596
"100","JAWA BARAT","INDRAMAYU","TUKDANA",3212061,3212,2017,"JANUARI","2017-01","'2017-01-24",1360.5,536.5625,166.75,1612.875,3676.6875,12,1154,3731,3692.37104371059,0.989646487191261
"101","JAWA BARAT","INDRAMAYU","WIDASARI",3212070,3212,2017,"JANUARI","2017-01","'2017-01-24",506.375,228.4375,1424.5625,853.3125,3012.6875,102,394,2856,3011.47721603542,1.05443880113285
"102","JAWA BARAT","INDRAMAYU","KERTASEMAYA",3212080,3212,2017,"JANUARI","2017-01","'2017-01-24",227.25,278.625,1583.25,388.75,2477.875,125,0,2915,2485.15023091493,0.852538672698088
"103","JAWA BARAT","INDRAMAYU","SUKAGUMIWANG",3212081,3212,2017,"JANUARI","2017-01","'2017-01-24",406.75,231.125,1041.75,556.5,2236.125,965,0,2570,2245.22589752096,0.873628753899208
"104","JAWA BARAT","INDRAMAYU","KRANGKENG",3212090,3212,2017,"JANUARI","2017-01","'2017-01-24",1021.125,3551.5,20.5,14.75,4607.875,4551,0,5476,4622.50756230355,0.844139437966318
"105","JAWA BARAT","INDRAMAYU","KARANGAMPEL",3212100,3212,2017,"JANUARI","2017-01","'2017-01-24",974,596.4375,333,151.75,2055.1875,785,514,2245,2065.51846416008,0.920052768000034
"106","JAWA BARAT","INDRAMAYU","KEDOKAN BUNDER",3212101,3212,2017,"JANUARI","2017-01","'2017-01-24",541.5,495.6875,1030.5625,223.0625,2290.8125,40,28,2112,2301.12415049684,1.08954741974282
"107","JAWA BARAT","INDRAMAYU","JUNTINYUAT",3212110,3212,2017,"JANUARI","2017-01","'2017-01-24",795.3125,956.6875,1838.375,89.5,3679.875,73,0,4016,3697.46986537968,0.92068472743518
"108","JAWA BARAT","INDRAMAYU","SLIYEG",3212120,3212,2017,"JANUARI","2017-01","'2017-01-24",1513.75,1289.6875,1626.0625,166.3125,4595.8125,639,14,4304,4606.89381574102,1.0703749571889
"109","JAWA BARAT","INDRAMAYU","JATIBARANG",3212130,3212,2017,"JANUARI","2017-01","'2017-01-24",713.0625,809.5625,950.4375,124.3125,2597.375,1252,91,2999,2609.27535594125,0.870048468136462
"110","JAWA BARAT","INDRAMAYU","BALONGAN",3212140,3212,2017,"JANUARI","2017-01","'2017-01-24",516.9375,519.3125,41.25,3.25,1080.75,1574,0,1987,1084.93057469694,0.546014380823824
"111","JAWA BARAT","INDRAMAYU","INDRAMAYU",3212150,3212,2017,"JANUARI","2017-01","'2017-01-24",709.9375,690.5625,238.9375,62.75,1702.1875,604,38,1758,1710.75071367456,0.973123272852426
"112","JAWA BARAT","INDRAMAYU","SINDANG",3212160,3212,2017,"JANUARI","2017-01","'2017-01-24",143.8125,47.875,1007.0625,172,1370.75,0,0,1981,1380.5777159554,0.696909498210704
"113","JAWA BARAT","INDRAMAYU","CANTIGI",3212161,3212,2017,"JANUARI","2017-01","'2017-01-24",67.1875,81.4375,531.5,11,691.125,245,0,1281,697.089011471824,0.544175652983469
"114","JAWA BARAT","INDRAMAYU","PASEKAN",3212162,3212,2017,"JANUARI","2017-01","'2017-01-24",13.0625,47.5625,518.75,14.125,593.5,55,0,816,596.904010282201,0.731500012600737
"115","JAWA BARAT","INDRAMAYU","LOHBENER",3212170,3212,2017,"JANUARI","2017-01","'2017-01-24",252.8125,701,1442.9375,67.4375,2464.1875,0,80,2554,2478.52746883478,0.970449283020664
"116","JAWA BARAT","INDRAMAYU","ARAHAN",3212171,3212,2017,"JANUARI","2017-01","'2017-01-24",428.6875,1000.5625,486.25,33.3125,1948.8125,266,25,2418,1958.01120925015,0.809764768093527
"117","JAWA BARAT","INDRAMAYU","LOSARANG",3212180,3212,2017,"JANUARI","2017-01","'2017-01-24",993.0625,917.125,2873.4375,270.25,5053.875,452,0,7244,5066.03127002204,0.699341699340425
"118","JAWA BARAT","INDRAMAYU","KANDANGHAUR",3212190,3212,2017,"JANUARI","2017-01","'2017-01-24",2178.375,2374.625,871.25,510.5625,5934.8125,2208,0,6250,5940.94825888658,0.950551721421854
"119","JAWA BARAT","INDRAMAYU","BONGAS",3212200,3212,2017,"JANUARI","2017-01","'2017-01-24",678.875,828.1875,2089.3125,228.3125,3824.6875,940,0,3930,3830.67794699589,0.974727212976053
"120","JAWA BARAT","INDRAMAYU","ANJATAN",3212210,3212,2017,"JANUARI","2017-01","'2017-01-24",1543.5,2721.75,1816.125,320.3125,6401.6875,2340,0,6100,6418.52206261437,1.05221673157613
"121","JAWA BARAT","INDRAMAYU","SUKRA",3212220,3212,2017,"JANUARI","2017-01","'2017-01-24",2030.1875,1221.75,62.875,28.6875,3343.5,782,0,3445,3351.05294213969,0.972729446194394
"122","JAWA BARAT","INDRAMAYU","PATROL",3212221,3212,2017,"JANUARI","2017-01","'2017-01-24",1653.4375,733.5,69.9375,51.8125,2508.6875,2234,0,3175,2522.77072371809,0.794573456289161
"123","JAWA BARAT","SUBANG","SAGALAHERANG",3213010,3213,2017,"JANUARI","2017-01","'2017-01-24",624.125,25.75,61.6875,210.625,922.1875,84,514,1168,938.633834082657,0.803624857947481
"124","JAWA BARAT","SUBANG","SERANGPANJANG",3213011,3213,2017,"JANUARI","2017-01","'2017-01-24",958,122.25,89.5,384.75,1554.5,657,76,1406,1599.01751759538,1.13728130696685
"125","JAWA BARAT","SUBANG","JALANCAGAK",3213020,3213,2017,"JANUARI","2017-01","'2017-01-24",315.1875,27.1875,58.75,157,558.125,204,103,699,581.95099228709,0.832547914573806
"126","JAWA BARAT","SUBANG","CIATER",3213021,3213,2017,"JANUARI","2017-01","'2017-01-24",699.125,24.75,32.8125,167,923.6875,234,258,1240,950.569956300227,0.766588674435667
"127","JAWA BARAT","SUBANG","CISALAK",3213030,3213,2017,"JANUARI","2017-01","'2017-01-24",932.875,53,114.1875,184.5,1284.5625,423,293,1676,1327.83100452924,0.792261935876634
"128","JAWA BARAT","SUBANG","KASOMALANG",3213031,3213,2017,"JANUARI","2017-01","'2017-01-24",506.375,19.5,78,64.4375,668.3125,200,208,926,694.805261715815,0.750329656280577
