"","code","area_ha"
"1","1",94581
"2","2",11962
"3","3",18334
"4","4",39106
"5","10",56090
"6","27",1
"7","59",115
"8","123",517
"9","155",2
"10","187",39
"11","233",42
"12","235",566
"13","249",15550
"14","251",72333
