"","code","area_ha"
"1","1",15636
"2","2",44679
"3","3",11209
"4","4",6959
"5","10",83104
"6","59",175
"7","107",54
"8","123",1792
"9","187",14
"10","233",629
"11","235",2993
"12","249",19715
"13","251",122279
