"","subdistrict","code","area_ha"
"1",3212010,1,616
"2",3212010,2,2477.125
"3",3212010,3,4495.0625
"4",3212010,4,928.1875
"5",3212011,1,294.375
"6",3212011,2,317.9375
"7",3212011,3,1618.4375
"8",3212011,4,1200.625
"9",3212020,1,362.875
"10",3212020,2,2646.9375
"11",3212020,3,4176.5625
"12",3212020,4,2562.3125
"13",3212030,1,321.4375
"14",3212030,2,5236
"15",3212030,3,175.25
"16",3212030,4,282.25
"17",3212040,1,752.9375
"18",3212040,2,4325.25
"19",3212040,3,361.75
"20",3212040,4,1285.9375
"21",3212041,1,481.3125
"22",3212041,2,3546.9375
"23",3212041,3,42.625
"24",3212041,4,87.875
"25",3212050,1,78.25
"26",3212050,2,4415.125
"27",3212050,3,20.375
"28",3212050,4,40.375
"29",3212060,1,102.9375
"30",3212060,2,386.125
"31",3212060,3,467.0625
"32",3212060,4,891.6875
"33",3212061,1,136.25
"34",3212061,2,2099
"35",3212061,3,215.3125
"36",3212061,4,89.0625
"37",3212070,1,360.125
"38",3212070,2,4365.625
"39",3212070,3,415.0625
"40",3212070,4,446.8125
"41",3212080,1,112.75
"42",3212080,2,2623.5625
"43",3212080,3,42.375
"44",3212080,4,339.0625
"45",3212081,1,32.625
"46",3212081,2,1363.875
"47",3212081,3,6.6875
"48",3212081,4,42.125
"49",3212090,1,388.75
"50",3212090,2,85.125
"51",3212090,3,158.3125
"52",3212090,4,3864
"53",3212100,1,82.875
"54",3212100,2,922.25
"55",3212100,3,22.375
"56",3212100,4,1307.4375
"57",3212101,1,37.9375
"58",3212101,2,992.5625
"59",3212101,3,23.5
"60",3212101,4,839.625
"61",3212110,1,66.9375
"62",3212110,2,3246.25
"63",3212110,3,15.25
"64",3212110,4,220.3125
"65",3212120,1,39.9375
"66",3212120,2,3551.6875
"67",3212120,3,19.9375
"68",3212120,4,809.5625
"69",3212130,1,19.5
"70",3212130,2,2260.625
"71",3212130,3,33.0625
"72",3212130,4,189.375
"73",3212140,1,13.5625
"74",3212140,2,537.8125
"75",3212140,3,0.5625
"76",3212140,4,494.75
"77",3212150,1,89.3125
"78",3212150,2,1459.375
"79",3212150,3,23.75
"80",3212150,4,510.375
"81",3212160,1,106.3125
"82",3212160,2,1011.375
"83",3212160,3,9.6875
"84",3212160,4,12.8125
"85",3212161,1,14.375
"86",3212161,2,329
"87",3212161,3,5.125
"88",3212161,4,0.625
"89",3212162,1,21.1875
"90",3212162,2,595.0625
"91",3212162,3,1.6875
"92",3212162,4,0.625
"93",3212170,1,26.8125
"94",3212170,2,2246.3125
"95",3212170,3,24.3125
"96",3212170,4,50.6875
"97",3212171,1,36
"98",3212171,2,1603.6875
"99",3212171,3,17.3125
"100",3212171,4,276.0625
"101",3212180,1,85.9375
"102",3212180,2,3881.4375
"103",3212180,3,33.875
"104",3212180,4,904.4375
"105",3212190,1,548.9375
"106",3212190,2,3322.4375
"107",3212190,3,107.3125
"108",3212190,4,1799.3125
"109",3212200,1,170.875
"110",3212200,2,2622.9375
"111",3212200,3,52.6875
"112",3212200,4,871.875
"113",3212210,1,273.6875
"114",3212210,2,2445.4375
"115",3212210,3,22.4375
"116",3212210,4,3509.875
"117",3212220,1,315.75
"118",3212220,2,181.9375
"119",3212220,3,60.375
"120",3212220,4,2366.625
"121",3212221,1,112.5625
"122",3212221,2,14.75
"123",3212221,3,145.6875
"124",3212221,4,2480.1875
"125",3213010,1,137.1875
"126",3213010,2,675.3125
"127",3213010,3,93
"128",3213010,4,705.6875
"129",3213011,1,90.9375
"130",3213011,2,376.9375
"131",3213011,3,78.4375
"132",3213011,4,503
"133",3213020,1,60
"134",3213020,2,486.4375
"135",3213020,3,16.9375
"136",3213020,4,190.125
"137",3213021,1,66.9375
"138",3213021,2,228.3125
"139",3213021,3,85.5
"140",3213021,4,178.5
"141",3213030,1,56.5625
"142",3213030,2,250.3125
"143",3213030,3,39.8125
"144",3213030,4,180.4375
"145",3213031,1,39.0625
"146",3213031,2,616.3125
"147",3213031,3,18.9375
"148",3213031,4,553.3125
"149",3213040,1,98.1875
"150",3213040,2,602.375
"151",3213040,3,152.375
"152",3213040,4,327.9375
"153",3213050,1,120.375
"154",3213050,2,896.1875
"155",3213050,3,82.5
"156",3213050,4,914.1875
"157",3213060,1,160.375
"158",3213060,2,509.625
"159",3213060,3,378.5625
"160",3213060,4,739.5625
"161",3213070,1,219.5
"162",3213070,2,637.125
"163",3213070,3,246.5
"164",3213070,4,683.375
"165",3213080,1,187.8125
"166",3213080,2,482.1875
"167",3213080,3,134.1875
"168",3213080,4,299.5
"169",3213081,1,156.25
"170",3213081,2,511.875
"171",3213081,3,70.625
"172",3213081,4,463.25
"173",3213090,1,180.625
"174",3213090,2,833.5
"175",3213090,3,167.125
"176",3213090,4,493.375
"177",3213100,1,550.125
"178",3213100,2,2457.625
"179",3213100,3,1482.75
"180",3213100,4,686.25
"181",3213110,1,407.9375
"182",3213110,2,6006.5
"183",3213110,3,177.6875
"184",3213110,4,259.625
"185",3213120,1,194.625
"186",3213120,2,1069.5625
"187",3213120,3,240.3125
"188",3213120,4,478.5
"189",3213130,1,384.9375
"190",3213130,2,1254.5
"191",3213130,3,758.3125
"192",3213130,4,656.5
"193",3213140,1,574.6875
"194",3213140,2,1004.9375
"195",3213140,3,924.625
"196",3213140,4,861.6875
"197",3213141,1,344.125
"198",3213141,2,519.5
"199",3213141,3,292.5625
"200",3213141,4,347.9375
"201",3213150,1,342.4375
"202",3213150,2,749.4375
"203",3213150,3,610.9375
"204",3213150,4,906.8125
"205",3213160,1,446.1875
"206",3213160,2,1634.125
"207",3213160,3,36.1875
"208",3213160,4,3225.3125
"209",3213170,1,1860.75
"210",3213170,2,2988.5
"211",3213170,3,30.8125
"212",3213170,4,4144.125
"213",3213171,1,223.75
"214",3213171,2,1606.625
"215",3213171,3,63.4375
"216",3213171,4,44.5625
"217",3213180,1,288.3125
"218",3213180,2,5552.75
"219",3213180,3,79.125
"220",3213180,4,2632.1875
"221",3213190,1,1687.1875
"222",3213190,2,1169.3125
"223",3213190,3,804.25
"224",3213190,4,2260.125
"225",3213191,1,343.375
"226",3213191,2,455.375
"227",3213191,3,360.5
"228",3213191,4,815.8125
"229",3213200,1,67.0625
"230",3213200,2,7.875
"231",3213200,3,119
