"","subdistrict","code","area_ha"
"207",3213160,3,97.6875
"208",3213160,4,1052.125
"209",3213170,1,1019.3125
"210",3213170,2,7630.25
"211",3213170,3,74.875
"212",3213170,4,299.375
"213",3213171,1,167.5
"214",3213171,2,1652.125
"215",3213171,3,96.3125
"216",3213171,4,22.25
"217",3213180,1,1325.0625
"218",3213180,2,6429.9375
"219",3213180,3,238.625
"220",3213180,4,558
"221",3213190,1,641
"222",3213190,2,4144.8125
"223",3213190,3,62.6875
"224",3213190,4,1073.125
"225",3213191,1,347.5
"226",3213191,2,777.375
"227",3213191,3,114.875
"228",3213191,4,735.5
"229",3213200,1,475.875
"230",3213200,2,1760.0625
"231",3213200,3,76.25
"232",3213200,4,379.3125
"233",3213201,1,369.75
"234",3213201,2,2005.625
"235",3213201,3,34.4375
"236",3213201,4,459.625
"237",3213210,1,161.125
"238",3213210,2,379.9375
"239",3213210,3,100
"240",3213210,4,537.25
"241",3213220,1,868.0625
"242",3213220,2,3615.625
"243",3213220,3,203.5
"244",3213220,4,396.5
"245",3215010,1,483.5625
"246",3215010,2,922.625
"247",3215010,3,83.0625
"248",3215010,4,174.3125
"249",3215011,1,139.125
"250",3215011,2,159.75
"251",3215011,3,25.75
"252",3215011,4,63.6875
"253",3215020,1,146.875
"254",3215020,2,235.875
"255",3215020,3,34.375
"256",3215020,4,100.4375
"257",3215031,1,74.9375
"258",3215031,2,150.5625
"259",3215031,3,7.75
"260",3215031,4,31.25
"261",3215032,1,442.375
"262",3215032,2,672.75
"263",3215032,3,95.125
"264",3215032,4,563.4375
"265",3215040,1,997.5
"266",3215040,2,2129.125
"267",3215040,3,377.1875
"268",3215040,4,642.1875
"269",3215050,1,111.375
"270",3215050,2,272.8125
"271",3215050,3,27.5625
"272",3215050,4,23.9375
"273",3215051,1,341.25
"274",3215051,2,497
"275",3215051,3,56.1875
"276",3215051,4,117.5
"277",3215060,1,531.5625
"278",3215060,2,3861.4375
"279",3215060,3,76.5625
"280",3215060,4,150.375
"281",3215070,1,146.4375
"282",3215070,2,1070.0625
"283",3215070,3,13.1875
"284",3215070,4,29.625
"285",3215071,1,431
"286",3215071,2,3460
"287",3215071,3,73
"288",3215071,4,155
"289",3215072,1,202
"290",3215072,2,2763.125
"291",3215072,3,45.3125
"292",3215072,4,60.9375
"293",3215081,1,496
"294",3215081,2,5233.25
"295",3215081,3,107.6875
"296",3215081,4,100
"297",3215082,1,151.0625
"298",3215082,2,4069.25
"299",3215082,3,41.875
"300",3215082,4,72.25
"301",3215090,1,484.9375
"302",3215090,2,3282.4375
"303",3215090,3,37.9375
"304",3215090,4,140.75
"305",3215100,1,613.75
"306",3215100,2,3209.8125
"307",3215100,3,58.4375
"308",3215100,4,176.5625
"309",3215111,1,179.3125
"310",3215111,2,1222.8125
"311",3215111,3,168.125
"312",3215111,4,257.3125
"313",3215112,1,404.9375
"314",3215112,2,1652.8125
"315",3215112,3,335.375
"316",3215112,4,249.5625
"317",3215113,1,41.1875
"318",3215113,2,18.3125
"319",3215113,3,6
"320",3215113,4,8.4375
"321",3215120,1,577.4375
"322",3215120,2,2931.4375
"323",3215120,3,183.875
"324",3215120,4,96.3125
"325",3215130,1,565.5625
"326",3215130,2,7826.125
"327",3215130,3,140.1875
"328",3215130,4,243.25
"329",3215140,1,1214.6875
"330",3215140,2,3427.375
"331",3215140,3,176
"332",3215140,4,284.4375
"333",3215150,1,154.625
"334",3215150,2,615.4375
"335",3215150,3,11.6875
"336",3215150,4,306.4375
"337",3215151,1,257.6875
"338",3215151,2,845.4375
"339",3215151,3,136.75
"340",3215151,4,100.625
"341",3215160,1,906.3125
"342",3215160,2,3137.25
"343",3215160,3,158.6875
"344",3215160,4,120.1875
"345",3215161,1,205.9375
"346",3215161,2,3080.625
"347",3215161,3,33.3125
"348",3215161,4,722.625
"349",3215170,1,133.4375
"350",3215170,2,1836.375
"351",3215170,3,8.125
"352",3215170,4,1716.4375
