"","subdistrict","code","area_ha"
"1",3212010,1,87
"2",3212010,2,57.6875
"3",3212010,3,1630.8125
"4",3212010,4,2488.625
"5",3212011,1,1873.5
"6",3212011,2,541.125
"7",3212011,3,633.625
"8",3212011,4,4578.5
"9",3212020,1,746.875
"10",3212020,2,236.8125
"11",3212020,3,1668.75
"12",3212020,4,7081.75
"13",3212030,1,19.75
"14",3212030,2,187
"15",3212030,3,3558
"16",3212030,4,2243.875
"17",3212040,1,157.8125
"18",3212040,2,136
"19",3212040,3,91.1875
"20",3212040,4,3567.0625
"21",3212041,1,193.25
"22",3212041,2,487.875
"23",3212041,3,1235.6875
"24",3212041,4,4949.25
"25",3212050,1,67.5
"26",3212050,2,447.875
"27",3212050,3,249.25
"28",3212050,4,3782.25
"29",3212060,1,261.125
"30",3212060,2,196.8125
"31",3212060,3,835.9375
"32",3212060,4,2203.5
"33",3212061,1,133.0625
"34",3212061,2,301.75
"35",3212061,3,683.375
"36",3212061,4,2447.3125
"37",3212070,1,48.625
"38",3212070,2,598.8125
"39",3212070,3,199.25
"40",3212070,4,2063.5
"41",3212080,1,52.1875
"42",3212080,2,117.8125
"43",3212080,3,1404.875
"44",3212080,4,830.5625
"45",3212081,1,59.1875
"46",3212081,2,224
"47",3212081,3,491.75
"48",3212081,4,1378.75
"49",3212090,1,393.125
"50",3212090,2,602.3125
"51",3212090,3,3219.875
"52",3212090,4,277.9375
"53",3212100,1,38.5
"54",3212100,2,404.5
"55",3212100,3,1297.75
"56",3212100,4,254.5
"57",3212101,1,107
"58",3212101,2,52.5625
"59",3212101,3,1888.3125
"60",3212101,4,176.1875
"61",3212110,1,53
"62",3212110,2,1259.625
"63",3212110,3,1384.3125
"64",3212110,4,842.875
"65",3212120,1,76.9375
"66",3212120,2,991.3125
"67",3212120,3,2074.4375
"68",3212120,4,1274.5625
"69",3212130,1,44.25
"70",3212130,2,298.8125
"71",3212130,3,1577.4375
"72",3212130,4,580.75
"73",3212140,1,33.9375
"74",3212140,2,131.125
"75",3212140,3,718.1875
"76",3212140,4,155
"77",3212150,1,38.4375
"78",3212150,2,377.375
"79",3212150,3,735.9375
"80",3212150,4,481.9375
"81",3212160,1,36.6875
"82",3212160,2,757.625
"83",3212160,3,6.25
"84",3212160,4,505.5625
"85",3212161,1,20.625
"86",3212161,2,31.125
"87",3212161,3,424.25
"88",3212161,4,191.125
"89",3212162,1,68.1875
"90",3212162,2,206.6875
"91",3212162,3,23.625
"92",3212162,4,266.875
"93",3212170,1,126.1875
"94",3212170,2,163.75
"95",3212170,3,504.5
"96",3212170,4,1585.8125
"97",3212171,1,139.6875
"98",3212171,2,91.25
"99",3212171,3,638.6875
"100",3212171,4,1026
"101",3212180,1,174.6875
"102",3212180,2,737.375
"103",3212180,3,2607.8125
"104",3212180,4,1365
"105",3212190,1,150.125
"106",3212190,2,993
"107",3212190,3,3775.3125
"108",3212190,4,834.9375
"109",3212200,1,13.5625
"110",3212200,2,125.1875
"111",3212200,3,2760.25
"112",3212200,4,806.6875
"113",3212210,1,27.25
"114",3212210,2,345.1875
"115",3212210,3,4694.375
"116",3212210,4,1173.25
"117",3212220,1,35.8125
"118",3212220,2,2630
"119",3212220,3,306.8125
"120",3212220,4,275.1875
"121",3212221,1,66
"122",3212221,2,319.4375
"123",3212221,3,1678.125
"124",3212221,4,350.6875
"125",3213010,1,38.75
"126",3213010,2,200.4375
"127",3213010,3,291.75
"128",3213010,4,252.25
"129",3213011,1,78.75
"130",3213011,2,197.1875
"131",3213011,3,391.25
"132",3213011,4,655.9375
"133",3213020,1,36.375
"134",3213020,2,127.125
"135",3213020,3,131.1875
"136",3213020,4,181.75
"137",3213021,1,58.4375
"138",3213021,2,362.4375
"139",3213021,3,98.625
"140",3213021,4,285.625
"141",3213030,1,74.1875
"142",3213030,2,471.6875
"143",3213030,3,190.125
"144",3213030,4,381.8125
"145",3213031,1,21.5
"146",3213031,2,176.0625
"147",3213031,3,103.25
"148",3213031,4,297.0625
"149",3213040,1,68.4375
"150",3213040,2,447.5
"151",3213040,3,104.3125
"152",3213040,4,460.25
"153",3213050,1,57.0625
"154",3213050,2,370.3125
"155",3213050,3,674.3125
"156",3213050,4,828.5
"157",3213060,1,97
"158",3213060,2,163.25
"159",3213060,3,146.1875
"160",3213060,4,1358.5
"161",3213070,1,92.375
"162",3213070,2,227
"163",3213070,3,252.125
"164",3213070,4,578.5
"165",3213080,1,156.25
"166",3213080,2,396.75
"167",3213080,3,421.5625
"168",3213080,4,1300.0625
"169",3213081,1,14.875
"170",3213081,2,127.0625
"171",3213081,3,150.125
"172",3213081,4,204.875
"173",3213090,1,117.75
"174",3213090,2,261.6875
"175",3213090,3,242.9375
"176",3213090,4,1022.4375
"177",3213100,1,258.1875
"178",3213100,2,1162.0625
"179",3213100,3,388.625
"180",3213100,4,3321.875
"181",3213110,1,306.5625
"182",3213110,2,1270.9375
"183",3213110,3,860
"184",3213110,4,4393.125
"185",3213120,1,55.75
"186",3213120,2,135.6875
"187",3213120,3,333
"188",3213120,4,737.3125
"189",3213130,1,164.3125
"190",3213130,2,218.8125
"191",3213130,3,565
"192",3213130,4,1589.8125
"193",3213140,1,52.875
"194",3213140,2,194.375
"195",3213140,3,765.9375
"196",3213140,4,1500
"197",3213141,1,60.625
"198",3213141,2,215.25
"199",3213141,3,371.125
"200",3213141,4,2288.5
"201",3213150,1,239.4375
"202",3213150,2,124.8125
"203",3213150,3,1696.125
"204",3213150,4,3574.375
"205",3213160,1,154.6875
"206",3213160,2,499.75
"207",3213160,3,3184.5
"208",3213160,4,1501.375
"209",3213170,1,109.1875
"210",3213170,2,180.5625
"211",3213170,3,2527.4375
"212",3213170,4,1053.875
"213",3213171,1,533.8125
"214",3213171,2,626.625
"215",3213171,3,3554.6875
"216",3213171,4,502
"217",3213180,1,379.25
"218",3213180,2,1521.1875
"219",3213180,3,2499.625
"220",3213180,4,4120.25
"221",3213190,1,183.8125
"222",3213190,2,815.5625
"223",3213190,3,865.4375
"224",3213190,4,197
"225",3213191,1,100.125
"226",3213191,2,1022
"227",3213191,3,1871.9375
"228",3213191,4,223.875
"229",3213200,1,95.8125
"230",3213200,2,1399.375
"231",3213200,3,638.125
"232",3213200,4,188.0625
"233",3213201,1,158.8125
"234",3213201,2,1117.6875
"235",3213201,3,1948.375
"236",3213201,4,1185.8125
"237",3213210,1,46.625
"238",3213210,2,1678.625
"239",3213210,3,225.5625
"240",3213210,4,653.8125
"241",3213220,1,285.375
"242",3213220,2,1557.3125
"243",3213220,3,2507.8125
"244",3213220,4,707.375
"245",3215010,1,536.1875
"246",3215010,2,798.6875
"247",3215010,3,220.25
"248",3215010,4,1231
"249",3215011,1,220.375
"250",3215011,2,640.25
"251",3215011,3,219.8125
"252",3215011,4,692.5
"253",3215020,1,60.75
"254",3215020,2,641.875
"255",3215020,3,134.75
"256",3215020,4,226.1875
"257",3215031,1,128.4375
"258",3215031,2,699.6875
"259",3215031,3,53.125
"260",3215031,4,81.625
"261",3215032,1,232.1875
"262",3215032,2,1729.625
"263",3215032,3,150.125
"264",3215032,4,418.0625
"265",3215040,1,245.6875
"266",3215040,2,1415.6875
"267",3215040,3,105.1875
"268",3215040,4,612.625
"269",3215050,1,43.0625
"270",3215050,2,143.3125
"271",3215050,3,7.0625
"272",3215050,4,115.25
"273",3215051,1,200.5
"274",3215051,2,614.625
"275",3215051,3,118.125
"276",3215051,4,771.8125
"277",3215060,1,176.875
"278",3215060,2,800
"279",3215060,3,216.5
"280",3215060,4,2216.5
"281",3215070,1,353.6875
"282",3215070,2,921.1875
"283",3215070,3,550.75
"284",3215070,4,2030.875
"285",3215071,1,201
"286",3215071,2,1327.125
"287",3215071,3,1522
"288",3215071,4,1198.875
"289",3215072,1,72.25
"290",3215072,2,392.5625
"291",3215072,3,60.9375
"292",3215072,4,835.25
"293",3215081,1,341.75
"294",3215081,2,1031.3125
"295",3215081,3,2478.3125
"296",3215081,4,1070.625
"297",3215082,1,213.5
"298",3215082,2,2263
"299",3215082,3,2450
"300",3215082,4,388.5625
"301",3215090,1,234.0625
"302",3215090,2,458.9375
"303",3215090,3,1715.1875
"304",3215090,4,1533.8125
"305",3215100,1,379.25
"306",3215100,2,1061.875
"307",3215100,3,838.0625
"308",3215100,4,1768.875
"309",3215111,1,284.3125
"310",3215111,2,806.875
"311",3215111,3,376.4375
"312",3215111,4,888.4375
"313",3215112,1,207.6875
"314",3215112,2,428.4375
"315",3215112,3,86.875
"316",3215112,4,581.5
"317",3215113,1,339.625
"318",3215113,2,810.625
"319",3215113,3,488.0625
"320",3215113,4,550.3125
"321",3215120,1,358.25
"322",3215120,2,663.3125
"323",3215120,3,625.5
"324",3215120,4,1777.9375
"325",3215130,1,167.5625
"326",3215130,2,4465.8125
"327",3215130,3,2193.25
"328",3215130,4,238.1875
"329",3215140,1,249.4375
"330",3215140,2,873.75
"331",3215140,3,2147.6875
"332",3215140,4,1096
"333",3215150,1,222.1875
"334",3215150,2,720.625
"335",3215150,3,730
"336",3215150,4,733.125
"337",3215151,1,50.8125
"338",3215151,2,2752
"339",3215151,3,482.0625
"340",3215151,4,52
"341",3215160,1,47.3125
"342",3215160,2,4114.5625
"343",3215160,3,1007.625
"344",3215160,4,89.1875
"345",3215161,1,93.6875
"346",3215161,2,4533.1875
"347",3215161,3,494.9375
"348",3215161,4,19.3125
"349",3215170,1,122.8125
"350",3215170,2,4566.5
"351",3215170,3,7
"352",3215170,4,1.5
"353",3215180,1,155.5
"354",3215180,2,4189.875
"355",3215180,3,492.3125
"356",3215180,4,137.6875
"357",3215190,1,93.5625
"358",3215190,2,2947.5625
"359",3215190,3,1458.8125
"360",3215190,4,282.3125
"361",3215200,1,84.75
"362",3215200,2,1619.75
"363",3215200,3,967.5625
"364",3215200,4,279.625
