"","subdistrict","code","area_ha"
"204",3213160,1,1825.0625
"205",3213160,2,3571.1875
"206",3213160,3,55
"207",3213160,4,22.6875
"208",3213170,1,488.375
"209",3213170,2,3420.6875
"210",3213170,3,96.375
"211",3213170,4,6.125
"212",3213171,1,3091.375
"213",3213171,2,2064.625
"214",3213171,3,119.1875
"215",3213171,4,49.375
"216",3213180,1,2294.1875
"217",3213180,2,6420.75
"218",3213180,3,87.5625
"219",3213180,4,2.5
"220",3213190,1,1344.625
"221",3213190,2,105.25
"222",3213190,3,173.5625
"223",3213190,4,498.625
"224",3213191,1,1423.3125
"225",3213191,2,1179.6875
"226",3213191,3,575.25
"227",3213191,4,114.25
"228",3213200,1,1577.5
"229",3213200,2,232.1875
"230",3213200,3,282.375
"231",3213200,4,301.1875
"232",3213201,1,3193.3125
"233",3213201,2,1286.0625
"234",3213201,3,4.375
"235",3213201,4,27.9375
"236",3213210,1,744.625
"237",3213210,2,772
"238",3213210,3,758.25
"239",3213210,4,410.0625
"240",3213220,1,2305.0625
"241",3213220,2,2822
"242",3213220,3,74
"243",3213220,4,18.5
"244",3215010,1,730.0625
"245",3215010,2,350.125
"246",3215010,3,1557.6875
"247",3215010,4,354.9375
"248",3215011,1,359.375
"249",3215011,2,382.125
"250",3215011,3,1099.1875
"251",3215011,4,95.0625
"252",3215020,1,668.5625
"253",3215020,2,261.4375
"254",3215020,3,165.375
"255",3215020,4,72.625
"256",3215031,1,785.1875
"257",3215031,2,185.0625
"258",3215031,3,34.6875
"259",3215031,4,9.1875
"260",3215032,1,1347.4375
"261",3215032,2,957.6875
"262",3215032,3,183.3125
"263",3215032,4,123.8125
"264",3215040,1,1392.8125
"265",3215040,2,448.5
"266",3215040,3,529.625
"267",3215040,4,122.1875
"268",3215050,1,150.1875
"269",3215050,2,137.375
"270",3215050,3,39.75
"271",3215050,4,6.375
"272",3215051,1,407.0625
"273",3215051,2,960.5625
"274",3215051,3,381.1875
"275",3215051,4,9.5
"276",3215060,1,192.0625
"277",3215060,2,1947.1875
"278",3215060,3,1333.6875
"279",3215060,4,31.25
"280",3215070,1,146.6875
"281",3215070,2,2467.0625
"282",3215070,3,884.625
"283",3215070,4,7.6875
"284",3215071,1,1262.1875
"285",3215071,2,2940.5
"286",3215071,3,2.6875
"287",3215071,4,17.5
"288",3215072,1,225.625
"289",3215072,2,337.1875
"290",3215072,3,825.25
"291",3215072,4,8.375
"292",3215081,1,2265.0625
"293",3215081,2,1397.625
"294",3215081,3,317.375
"295",3215081,4,822.4375
"296",3215082,1,2186.9375
"297",3215082,2,1106.5
"298",3215082,3,1210.25
"299",3215082,4,912.1875
"300",3215090,1,637.375
"301",3215090,2,2966.125
"302",3215090,3,425.125
"303",3215090,4,1.75
"304",3215100,1,956.4375
"305",3215100,2,2990.25
"306",3215100,3,125.75
"307",3215100,4,66
"308",3215111,1,152.6875
"309",3215111,2,883.375
"310",3215111,3,1348.375
"311",3215111,4,29.6875
"312",3215112,1,356.5
"313",3215112,2,225.9375
"314",3215112,3,735.25
"315",3215112,4,33.1875
"316",3215113,1,365
"317",3215113,2,539.5
"318",3215113,3,1294.9375
"319",3215113,4,41.3125
"320",3215120,1,613.4375
"321",3215120,2,1764.3125
"322",3215120,3,1105.6875
"323",3215120,4,25.125
"324",3215130,1,2119.75
"325",3215130,2,1924.375
"326",3215130,3,1779.375
"327",3215130,4,1382.125
"328",3215140,1,2206.25
"329",3215140,2,1571
"330",3215140,3,95.0625
"331",3215140,4,485.9375
"332",3215150,1,406.4375
"333",3215150,2,869.8125
"334",3215150,3,833.1875
"335",3215150,4,316
"336",3215151,1,205.0625
"337",3215151,2,97.5
"338",3215151,3,2166.5
"339",3215151,4,921.5
"340",3215160,1,634.375
"341",3215160,2,384.75
"342",3215160,3,2574.1875
"343",3215160,4,1744.75
"344",3215161,1,965.8125
"345",3215161,2,195.6875
"346",3215161,3,1653.4375
"347",3215161,4,2397.9375
"348",3215170,1,103.0625
"349",3215170,2,80.3125
"350",3215170,3,4021.5625
"351",3215170,4,565.0625
"352",3215180,1,273.25
"353",3215180,2,202
"354",3215180,3,3904.0625
"355",3215180,4,680.3125
"356",3215190,1,695.3125
"357",3215190,2,590.375
"358",3215190,3,2599.6875
"359",3215190,4,989.4375
"360",3215200,1,597.8125
"361",3215200,2,151.8125
"362",3215200,3,915.9375
"363",3215200,4,1340.8125
