"","subdistrict","code","area_ha"
"1",3212010,1,4124.25
"2",3212010,2,52.4375
"3",3212010,3,100.0625
"4",3212010,4,110.9375
"5",3212011,1,6624.125
"6",3212011,2,78.9375
"7",3212011,3,1083.5625
"8",3212011,4,230.625
"9",3212020,1,8059.25
"10",3212020,2,7.4375
"11",3212020,3,1776.625
"12",3212020,4,196.6875
"13",3212030,1,5908
"14",3212030,2,111.75
"15",3212030,3,107.3125
"16",3212030,4,107.1875
"17",3212040,1,3769
"18",3212040,2,12.25
"19",3212040,3,251.5625
"20",3212040,4,67.0625
"21",3212041,1,6383.25
"22",3212041,2,21.125
"23",3212041,3,721
"24",3212041,4,118.125
"25",3212050,1,4497.375
"26",3212050,2,4.375
"27",3212050,3,89.0625
"28",3212050,4,108.5
"29",3212060,1,2196.8125
"30",3212060,2,697.625
"31",3212060,3,611.625
"32",3212060,4,89.0625
"33",3212061,1,1788.25
"34",3212061,2,1014.6875
"35",3212061,3,680.875
"36",3212061,4,197.25
"37",3212070,1,2651
"38",3212070,2,40.0625
"39",3212070,3,113.0625
"40",3212070,4,209.375
"41",3212080,1,2174.9375
"42",3212080,2,17.5625
"43",3212080,3,220.3125
"44",3212080,4,66.8125
"45",3212081,1,1865.75
"46",3212081,2,16
"47",3212081,3,315
"48",3212081,4,42.1875
"49",3212090,1,3897.5625
"50",3212090,2,213.6875
"51",3212090,3,456.375
"52",3212090,4,41.8125
"53",3212100,1,1954.8125
"54",3212100,2,1.5
"55",3212100,3,98.6875
"56",3212100,4,1.75
"57",3212101,1,2171.625
"58",3212101,2,5.6875
"59",3212101,3,94.625
"60",3212101,4,21.125
"61",3212110,1,3356.3125
"62",3212110,2,16.0625
"63",3212110,3,280.5
"64",3212110,4,31
"65",3212120,1,3833.875
"66",3212120,2,173.375
"67",3212120,3,454.0625
"68",3212120,4,137
"69",3212130,1,1977.75
"70",3212130,2,176.875
"71",3212130,3,388
"72",3212130,4,57.0625
"73",3212140,1,1007.4375
"74",3212140,2,12.0625
"75",3212140,3,55.25
"76",3212140,4,7
"77",3212150,1,1526
"78",3212150,2,40.1875
"79",3212150,3,92.0625
"80",3212150,4,45.25
"81",3212160,1,1125.875
"82",3212160,2,86.4375
"83",3212160,3,132.3125
"84",3212160,4,27.5
"85",3212161,1,423
"86",3212161,2,22.5
"87",3212161,3,236.75
"88",3212161,4,11.0625
"89",3212162,1,552.375
"90",3212162,2,12.75
"91",3212162,3,19.6875
"92",3212162,4,9.625
"93",3212170,1,2353.3125
"94",3212170,2,41.5625
"95",3212170,3,35
"96",3212170,4,37.3125
"97",3212171,1,1718.75
"98",3212171,2,18.625
"99",3212171,3,208.4375
"100",3212171,4,5.9375
"101",3212180,1,4444.0625
"102",3212180,2,99.625
