"","subdistrict","code","area_ha"
"1",3212010,1,4160.5625
"2",3212010,2,34
"3",3212010,3,79.1875
"4",3212010,4,111.9375
"5",3212011,1,6909.375
"6",3212011,2,56.8125
"7",3212011,3,149.625
"8",3212011,4,892.1875
"9",3212020,1,7107.6875
"10",3212020,2,57.5
"11",3212020,3,2053.6875
"12",3212020,4,818.0625
"13",3212030,1,5672.8125
"14",3212030,2,42.75
"15",3212030,3,456.4375
"16",3212030,4,61.4375
"17",3212040,1,3529.25
"18",3212040,2,30.75
"19",3212040,3,275.75
"20",3212040,4,258.875
"21",3212041,1,5248.0625
"22",3212041,2,289.125
"23",3212041,3,1094.9375
"24",3212041,4,603.3125
"25",3212050,1,4340.0625
"26",3212050,2,32.125
"27",3212050,3,171.6875
"28",3212050,4,154.125
"29",3212060,1,2431.6875
"30",3212060,2,498.1875
"31",3212060,3,47.75
"32",3212060,4,615.625
"33",3212061,1,2027.4375
"34",3212061,2,803.0625
"35",3212061,3,60.375
"36",3212061,4,785.6875
"37",3212070,1,2687.4375
"38",3212070,2,29.4375
"39",3212070,3,7
"40",3212070,4,289.25
"41",3212080,1,2184.3125
"42",3212080,2,14.1875
"43",3212080,3,33.75
"44",3212080,4,246.3125
"45",3212081,1,1949.375
"46",3212081,2,12.5625
"47",3212081,3,15.8125
"48",3212081,4,258.875
"49",3212090,1,3738.25
"50",3212090,2,153.375
"51",3212090,3,453.125
"52",3212090,4,264.25
"53",3212100,1,1925.4375
"54",3212100,2,7.9375
"55",3212100,3,54.9375
"56",3212100,4,68.375
"57",3212101,1,2124
"58",3212101,2,15.5625
"59",3212101,3,66.875
"60",3212101,4,85
"61",3212110,1,3433.25
"62",3212110,2,5.25
"63",3212110,3,63.6875
"64",3212110,4,179.6875
"65",3212120,1,3890.5625
"66",3212120,2,117.875
"67",3212120,3,22.875
"68",3212120,4,566
"69",3212130,1,2099.5625
"70",3212130,2,100.875
"71",3212130,3,9.4375
"72",3212130,4,388.25
"73",3212140,1,993.25
"74",3212140,2,1
"75",3212140,3,72.875
"76",3212140,4,13.75
"77",3212150,1,1559.3125
"78",3212150,2,21.5625
"79",3212150,3,12.9375
"80",3212150,4,108.1875
"81",3212160,1,1187.5
"82",3212160,2,77.375
"83",3212160,3,41.5
"84",3212160,4,64
"85",3212161,1,685.5625
"86",3212161,2,5.8125
"87",3212162,1,585.6875
"88",3212162,2,2.25
"89",3212162,3,1.625
"90",3212162,4,4.25
"91",3212170,1,2308.125
"92",3212170,2,35.9375
"93",3212170,3,72.8125
"94",3212170,4,47.9375
"95",3212171,1,1935.75
"96",3212171,2,7.125
"97",3212171,3,3.3125
"98",3212171,4,3
"99",3212180,1,3035.75
"100",3212180,2,449.375
"101",3212180,3,1465.375
"102",3212180,4,103.9375
"103",3212190,1,4587
"104",3212190,2,210.25
"105",3212190,3,916.5
"106",3212190,4,221.0625
"107",3212200,1,3723.9375
"108",3212200,2,82.1875
"109",3212200,3,3.4375
"110",3212200,4,15.4375
"111",3212210,1,5742.5625
"112",3212210,2,235.0625
"113",3212210,3,13
"114",3212210,4,411.125
"115",3212220,1,1419.8125
"116",3212220,2,102.875
