"","x"
"Accuracy",0.491620111731844
"Kappa",0.322160148975791
"AccuracyLower",0.4544025793304
"AccuracyUpper",0.528906948703283
"AccuracyNull",0.25
"AccuracyPValue",5.59287350205574e-44
"McnemarPValue",2.09074532028949e-27
