"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.921787709497207,0.90316573556797,0.76036866359447,0.971943887775551,0.76036866359447,0.921787709497207,0.833333333333333,0.25,0.230446927374302,0.303072625698324,0.912476722532588
"Class: 2",0.759776536312849,0.986964618249534,0.951048951048951,0.924956369982548,0.951048951048951,0.759776536312849,0.84472049689441,0.25,0.189944134078212,0.199720670391061,0.873370577281192
"Class: 3",0.810055865921788,0.953445065176909,0.852941176470588,0.937728937728938,0.852941176470588,0.810055865921788,0.830945558739255,0.25,0.202513966480447,0.237430167597765,0.881750465549348
"Class: 4",0.910614525139665,0.957169459962756,0.876344086021505,0.969811320754717,0.876344086021505,0.910614525139665,0.893150684931507,0.25,0.227653631284916,0.259776536312849,0.93389199255121
