"","paddy_raster_df","Freq"
"1","101",17448.25
"2","102",9030.9375
"3","103",4385.3125
"4","201",7377.3125
"5","202",156046.0625
"6","203",29962.5
"7","301",12424.5625
"8","302",2409.8125
"9","303",42963.75
"10","304",13225.9375
"11","401",913.1875
"12","402",1977.625
"13","404",8682.9375
