"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.994736842105263,1,1,0.997912317327766,1,0.994736842105263,0.997361477572559,0.284431137724551,0.282934131736527,0.282934131736527,0.997368421052632
"Class: 2",0.96,0.995943204868154,0.988235294117647,0.985943775100402,0.988235294117647,0.96,0.973913043478261,0.261976047904192,0.251497005988024,0.254491017964072,0.977971602434077
"Class: 3",0.986013986013986,0.998095238095238,0.992957746478873,0.996197718631179,0.992957746478873,0.986013986013986,0.989473684210526,0.214071856287425,0.211077844311377,0.212574850299401,0.992054612054612
"Class: 4",1,0.986220472440945,0.958083832335329,1,0.958083832335329,1,0.978593272171254,0.239520958083832,0.239520958083832,0.25,0.993110236220472
