"","code","area_ha"
"1","1",12257
"2","2",62910
"3","3",32420
"4","4",53666
"5","27",5
"6","59",14680
"7","107",4
"8","123",10568
"9","187",33
"10","235",1435
"11","249",2053
"12","251",119207
