"","code","area_ha"
"1","1",12626
"2","2",26444
"3","3",31064
"4","4",62135
"5","27",237
"6","43",1
"7","59",3391
"8","91",22
"9","107",86
"10","123",9733
"11","155",69
"12","187",471
"13","219",1
"14","233",19
"15","235",551
"16","249",2050
"17","251",91128
