"","code","area_ha"
"1","11",159
"2","12",14
"3","27",5321
"4","28",252
"5","43",4060
"6","44",66
"7","59",87362
"8","60",289
"9","75",21
"10","91",64
"11","107",5327
"12","123",113872
"13","171",1
"14","187",2494
"15","235",2008
"16","251",18718
