"","code","area_ha"
"1","1",52719
"2","2",176488
"3","3",9849
"4","4",7990
"5","10",14562
"6","43",59
"7","58",37
"8","59",20092
"9","60",15
"10","90",1
"11","91",1
"12","122",44
"13","123",24632
"14","124",6
"15","250",1
"16","251",2742
