"","code","area_ha"
"1","1",1263
"2","2",12533
"3","3",4327
"4","4",28891
"5","11",10
"6","27",515
"7","43",64
"8","59",3023
"9","91",57
"10","107",125
"11","123",8787
"12","155",159
"13","171",2
"14","187",440
"15","219",36
"16","233",152
"17","235",3272
"18","249",17076
"19","251",159296
