"","code","area_ha"
"1","1",16
"2","27",340
"3","43",123
"4","59",49965
"5","91",11
"6","107",2979
"7","123",100756
"8","155",180
"9","171",15
"10","187",4455
"11","219",11
"12","235",4046
"13","251",146341
