"","code","area_ha"
"1","1",401
"2","2",16349
"3","3",60
"4","4",2722
"5","11",10
"6","27",307
"7","43",734
"8","59",39038
"9","107",2047
"10","123",98286
"11","155",122
"12","187",6526
"13","235",292
"14","249",6439
"15","251",135905
