"","code","area_ha"
"1","1",622
"2","2",2693
"3","3",4339
"4","4",8576
"5","11",10
"6","27",659
"7","28",11
"8","43",105
"9","59",4321
"10","75",2
"11","91",80
"12","107",274
"13","123",11349
"14","139",6
"15","155",339
"16","171",16
"17","187",1154
"18","219",48
"19","233",171
"20","235",4429
"21","249",8151
"22","251",192673
