"","Overall"
"S2_B02",54.7708330811223
"S2_B03",59.2192096944546
"S2_B04",82.0354013596454
"S2_B05",70.9529467246346
"S2_B06",20.1818082200293
"S2_B07",55.9302939249602
"S2_B08",41.4139947857838
"S2_B11",95.4074892445653
"S2_B12",100
"S2_B8A",38.7673130055585
"LS8_B01",38.9483487894445
"LS8_B02",43.0609899390268
"LS8_B03",45.2693645960057
"LS8_B04",70.07534622707
"LS8_B05",28.4376028801724
"LS8_B06",84.4592279528533
"LS8_B07",98.3297997775543
"d_VH_MAX100",0
"d_VH_MEAN100",2.49572372355742
"d_VH_MED100",2.71238745550478
"d_VH_MIN100",1.71853030524292
"d_VH_SUM100",0.705416711977019
"d_VV_MAX100",6.17393434108306
"d_VV_MEAN100",1.74652746931513
"d_VV_MED100",2.51368738613336
"d_VV_MIN100",2.26547040616368
"d_VV_SUM100",2.54420365075306
