"","Overall"
"S2_B02",58.2295015080918
"S2_B03",55.677881763525
"S2_B04",76.0343129590019
"S2_B05",75.1133511653725
"S2_B06",20.3109938065226
"S2_B07",51.8024803773962
"S2_B08",36.5785611371077
"S2_B11",100
"S2_B12",95.2112869197304
"S2_B8A",38.3680678029435
"LS8_B01",51.0726211233701
"LS8_B02",58.1619309689745
"LS8_B03",47.4504668072698
"LS8_B04",72.218765567953
"LS8_B05",40.2165002998446
"LS8_B06",64.7653854904188
"LS8_B07",87.3343166875795
"VH_MAX",8.4599013480725
"VH_MAX_1",12.5607959685339
"d_VH_MAX100",0
