"","Overall"
"VH_MAX",52.880108698926
"VH_MEAN",100
"VH_MED",70.201855438624
"VH_MIN",86.1243191675817
"VH_SUM",85.7174489234036
"VV_MAX",19.7866330071032
"VV_MEAN",28.7372729630596
"VV_MED",15.1034237407329
"VV_MIN",8.50945923924315
"VV_SUM",10.8657390146043
"VH_MAX_1",37.8026071652869
"VH_MEAN_1",50.1920328724837
"VH_MED_1",53.3497332475015
"VH_MIN_1",31.0587115125611
"VH_SUM_1",47.4100343211213
"VV_MAX_1",26.0967790008913
"VV_MEAN_1",6.30357520515828
"VV_MED_1",13.6927597328395
"VV_MIN_1",15.4413895613845
"VV_SUM_1",29.4121735159584
"d_VH_MAX100",15.6038786678631
"d_VH_MEAN100",23.5920537084243
"d_VH_MED100",11.0028309023966
"d_VH_MIN100",9.93711612095247
"d_VH_SUM100",25.792712637375
"d_VV_MAX100",52.3033859309911
"d_VV_MEAN100",0
"d_VV_MED100",19.4142180475465
"d_VV_MIN100",17.4125931598157
"d_VV_SUM100",17.6386719431507
