"","Overall"
"LS8_B01",20.1711910364682
"LS8_B02",31.3073719355912
"LS8_B03",33.5240965636825
"LS8_B04",76.6077467473373
"LS8_B05",43.8987184294803
"LS8_B06",77.9858124822834
"LS8_B07",100
"VH_MAX",2.74073529848694
"VH_MEAN",5.07365682233502
"VH_MED",4.49712297045118
"VH_MIN",10.5054109482584
"VH_SUM",4.66012386551599
"VV_MAX",3.83425845003769
"VV_MEAN",1.84200752834044
"VV_MED",2.43967768431282
"VV_MIN",2.83051696856531
"VV_SUM",1.76730501765703
"VH_MAX_1",3.71089563544058
"VH_MEAN_1",6.42400077522401
"VH_MED_1",4.93696294904736
"VH_MIN_1",4.26176918365019
"VH_SUM_1",7.08056844238256
"VV_MAX_1",6.43405555364605
"VV_MEAN_1",2.40711157600663
"VV_MED_1",2.70588350951789
"VV_MIN_1",1.85540898246195
"VV_SUM_1",2.50392460211823
"d_VH_MAX",1.37996387602653
"d_VH_MEAN",1.64892985230587
"d_VH_MED",5.15333691274974
"d_VH_MIN",1.53262978297564
"d_VH_SUM",2.0502881302802
"d_VV_MAX",4.22812714568838
"d_VV_MEAN",0
"d_VV_MED",1.81320023797362
"d_VV_MIN",1.62077282905
"d_VV_SUM",0.482112004612621
