"","Overall"
"S2_B02",43.4759971980725
"S2_B03",55.5763875679888
"S2_B04",77.6414484609635
"S2_B05",82.5629851671749
"S2_B06",23.7030090441709
"S2_B07",44.5564361427982
"S2_B08",41.9317558270549
"S2_B11",92.5231806124421
"S2_B12",100
"S2_B8A",36.5408384113064
"LS8_B01",37.9013970270174
"LS8_B02",58.6784047112523
"LS8_B03",52.2112574495245
"LS8_B04",72.9119181494662
"LS8_B05",40.5848225942273
"LS8_B06",56.2852241065512
"LS8_B07",95.5871248806848
"d_VH_MAX",0
"d_VH_MEAN",4.2845704718122
"d_VH_MED",5.64438532439566
"d_VH_MIN",1.62650878653627
"d_VH_SUM",5.55261865176575
"d_VV_MAX",6.54960208518714
"d_VV_MEAN",0.77568639712978
"d_VV_MED",1.71853272718719
"d_VV_MIN",2.00514549329376
"d_VV_SUM",2.82707064160884
