"","Overall"
"S2_B02",44.4654921760549
"S2_B03",55.3308163507471
"S2_B04",74.4134214808601
"S2_B05",76.2973012951914
"S2_B06",11.6217744796172
"S2_B07",42.954258285761
"S2_B08",39.6388445066479
"S2_B11",90.6623430019359
"S2_B12",100
"S2_B8A",28.5955131361752
"LS8_B01",27.8020620150532
"LS8_B02",40.33232840457
"LS8_B03",51.799894706582
"LS8_B04",64.5176760509279
"LS8_B05",31.7619390861874
"LS8_B06",72.8147494960879
"LS8_B07",69.07415748491
"VH_MAX",0
"VH_MEAN",10.6763160721444
"VH_MED",7.47951839060052
"VH_MIN",16.8424875035887
"VH_SUM",7.83527013001412
