"","Overall"
"S2_B02",47.5566051147149
"S2_B03",53.6513344823611
"S2_B04",79.1398795840945
"S2_B05",74.5275711139874
"S2_B06",16.4064710273531
"S2_B07",41.1566245650849
"S2_B08",38.2439398512619
"S2_B11",100
"S2_B12",97.2388263355472
"S2_B8A",39.7094674733659
"LS8_B01",34.0607209875357
"LS8_B02",47.7859630369626
"LS8_B03",36.9682500818299
"LS8_B04",70.8660065543641
"LS8_B05",31.8630946795345
"LS8_B06",68.4644146567001
"LS8_B07",70.8386770519903
"VV_MAX",2.36182880598657
"VV_MEAN",0.474927793451295
"VV_MED",0
"VV_MIN",0.580191416467186
"VV_SUM",0.724798591330449
"VV_MAX_1",3.44559079296255
"VV_MEAN_1",1.38409618279886
"VV_MED_1",2.19860620616489
"VV_MIN_1",1.72777522966101
"VV_SUM_1",0.301276970664985
