"","Overall"
"S2_B02",39.9549998881742
"S2_B03",29.8444019092058
"S2_B04",62.138726376525
"S2_B05",73.5898149730696
"S2_B06",9.97028383750987
"S2_B07",31.4295204497913
"S2_B08",31.6642523296325
"S2_B11",88.6683791018122
"S2_B12",100
"S2_B8A",29.606828960179
"d_VH_MAX",0.144534195924103
"d_VH_MEAN",0.974391839161227
"d_VH_MED",3.66708031231236
"d_VH_MIN",1.18857692334294
"d_VH_SUM",0.714709422962594
"d_VV_MAX",3.00901593782266
"d_VV_MEAN",0
"d_VV_MED",0.605579799754155
"d_VV_MIN",1.26500173139261
"d_VV_SUM",0.638024147270113
