"","Overall"
"S2_B02",27.700265202509
"S2_B03",22.2098278363999
"S2_B04",57.4641976771716
"S2_B05",67.8523601097789
"S2_B06",4.97927729781191
"S2_B07",27.7171652086573
"S2_B08",33.0059228771002
"S2_B11",78.104104705639
"S2_B12",100
"S2_B8A",27.4272475299544
"VH_MAX",4.28229439087109
"VH_MEAN",4.90371142838387
"VH_MED",3.32880315823079
"VH_MIN",10.6955319612514
"VH_SUM",7.06985312302354
"VV_MAX_1",1.92883546342519
"VV_MEAN_1",0
"VV_MED_1",1.48948920913677
"VV_MIN_1",0.377036406876685
"VV_SUM_1",0.449496755075508
