"","Overall"
"S2_B02",47.3416099618578
"S2_B03",55.3023201469294
"S2_B04",87.997114893675
"S2_B05",78.3506959673593
"S2_B06",12.7655771882916
"S2_B07",49.8916230794077
"S2_B08",39.3620644678275
"S2_B11",86.3651400149414
"S2_B12",100
"S2_B8A",37.9771299615607
"LS8_B01",40.7999041319896
"LS8_B02",49.1866189382261
"LS8_B03",58.2126325504424
"LS8_B04",90.2324832620692
"LS8_B05",30.8653123921914
"LS8_B06",77.3994625861385
"LS8_B07",89.133251806927
"VH_MAX",0.183064410503082
"VH_MIN",16.7755177849569
"VH_MAX_1",3.29977730775605
"VH_MIN_1",0
