"","Overall"
"S2_B02",35.2786291018974
"S2_B03",33.4047704084156
"S2_B04",52.450023635375
"S2_B05",66.5134330268352
"S2_B06",8.0943477633772
"S2_B07",38.1524232104526
"S2_B08",36.4301506082666
"S2_B11",99.3494062785111
"S2_B12",100
"S2_B8A",35.4472412581231
"LS8_B01",12.1659270462348
"LS8_B02",25.5012039363029
"LS8_B03",18.8296219397659
"LS8_B04",50.3997536582507
"LS8_B05",35.6952803329344
"LS8_B06",51.9211758522613
"LS8_B07",65.0755978621692
"d_VV_MAX100",2.92155837786908
"d_VV_MEAN100",0
"d_VV_MED100",1.78966672216055
"d_VV_MIN100",0.571325841037368
"d_VV_SUM100",1.45772534023878
