"","Overall"
"S2_B02",51.448913018747
"S2_B03",56.4490968551824
"S2_B04",91.2922900554451
"S2_B05",83.5407344637947
"S2_B06",16.9538249401887
"S2_B07",50.6598730381549
"S2_B08",42.5507232127229
"S2_B11",100
"S2_B12",97.213808141581
"S2_B8A",41.1440076038957
"LS8_B01",30.6452406304733
"LS8_B02",46.4468550207358
"LS8_B03",48.7758463126577
"LS8_B04",74.7215002359715
"LS8_B05",33.21683630418
"LS8_B06",71.5990009327271
"LS8_B07",85.4173337851002
"d_VV_MAX",4.17413446931019
"d_VV_MEAN",0.533297184288193
"d_VV_MED",0
"d_VV_MIN",0.823094681111477
"d_VV_SUM",1.27569252835499
