"","Overall"
"S2_B02",52.7815533900385
"S2_B03",49.6232902810321
"S2_B04",80.1936878777406
"S2_B05",81.7776388650243
"S2_B06",13.6566578449857
"S2_B07",40.5497420339505
"S2_B08",33.8835534840077
"S2_B11",87.0254312038074
"S2_B12",100
"S2_B8A",32.8700210385013
"VV_MAX",2.64402145106007
"VV_MEAN",0.117008255832266
"VV_MED",0.531888721300228
"VV_MIN",0
"VV_SUM",0.209082376572813
"VV_MAX_1",3.11545775587895
"VV_MEAN_1",0.490018147052496
"VV_MED_1",1.65467134865304
"VV_MIN_1",0.382923190965128
"VV_SUM_1",2.17638122024953
