"","Overall"
"S2_B02",37.315345243267
"S2_B03",46.9653927960759
"S2_B04",69.883817502715
"S2_B05",75.018861539563
"S2_B06",15.8838899498726
"S2_B07",42.6655522282806
"S2_B08",34.6065093858654
"S2_B11",89.1994959337106
"S2_B12",100
"S2_B8A",34.3874752352199
"LS8_B01",24.8767328181283
"LS8_B02",38.3447817641466
"LS8_B03",41.1864554455051
"LS8_B04",65.6113785566559
"LS8_B05",29.059398980173
"LS8_B06",60.6576532813336
"LS8_B07",70.0696925232494
"VV_MAX",1.19709596557461
"VV_MAX_1",0
"d_VV_MAX100",1.68844227330416
