"","Overall"
"S2_B02",30.9462959638006
"S2_B03",30.6091554364132
"S2_B04",61.3326283513127
"S2_B05",67.0773025871707
"S2_B06",8.82349744365748
"S2_B07",34.4461228713778
"S2_B08",33.8580434370053
"S2_B11",83.3934251402089
"S2_B12",100
"S2_B8A",33.0807156558493
"LS8_B01",18.2546096559609
"LS8_B02",24.2289466607895
"LS8_B03",26.1586672974802
"LS8_B04",46.1151530902015
"LS8_B05",25.8419537614922
"LS8_B06",56.3773225366768
"LS8_B07",57.4924327611552
"VH_MAX",3.99924658105305
"VH_MEAN",6.85708785395263
"VH_MED",4.48979035206381
"VH_MIN",11.9300953143489
"VH_SUM",8.2872753758719
"VV_MAX",2.32180493929365
"VV_MEAN",0.317514794627816
"VV_MED",0.513140819543846
"VV_MIN",1.77431015927811
"VV_SUM",0
"VH_MAX_1",3.16700979896626
"VH_MEAN_1",4.3598729866169
"VH_MED_1",8.3932477095853
"VH_MIN_1",4.00892086828264
"VH_SUM_1",7.52014533940689
"VV_MAX_1",3.31970222275546
"VV_MEAN_1",0.871957293772986
"VV_MED_1",1.53486704412093
"VV_MIN_1",0.675048775925229
"VV_SUM_1",0.976066271751599
