"","Overall"
"LS8_B01",8.94514329533651
"LS8_B02",16.701426083055
"LS8_B03",18.5245601399249
"LS8_B04",57.7032767841392
"LS8_B05",47.1740316507119
"LS8_B06",61.4713475664675
"LS8_B07",100
"VH_MAX",1.62811404724025
"VH_MEAN",3.51886649372053
"VH_MED",3.68831527245407
"VH_MIN",6.46708849466685
"VH_SUM",3.289674279172
"VV_MAX",3.17828394464529
"VV_MEAN",0.134910671815671
"VV_MED",0.238570602301835
"VV_MIN",1.160433041052
"VV_SUM",0
"VH_MAX_1",2.52713018945869
"VH_MEAN_1",4.73851603128162
"VH_MED_1",3.88193463562808
"VH_MIN_1",3.1681687066584
"VH_SUM_1",3.68845019744588
"VV_MAX_1",5.93729035917949
"VV_MEAN_1",0.837847207650595
"VV_MED_1",1.99420153351442
"VV_MIN_1",2.39061025234459
"VV_SUM_1",0.877033600880437
