"","Overall"
"S2_B02",48.2478405966505
"S2_B03",44.8071903499469
"S2_B04",72.5140225324213
"S2_B05",81.8746530645185
"S2_B06",14.7864979851868
"S2_B07",35.4142181983818
"S2_B08",31.8493213394307
"S2_B11",89.97875833015
"S2_B12",100
"S2_B8A",32.6819816781635
"VV_MAX",3.67748379734019
"VV_MEAN",0.333322878814183
"VV_MED",0.678743016946844
"VV_MIN",0
"VV_SUM",0.191567915994346
"VH_MAX_1",5.52307670539308
"VH_MEAN_1",7.15675148302644
"VH_MED_1",7.43383521149177
"VH_MIN_1",5.06784219621157
"VH_SUM_1",9.11598067224175
