"","Overall"
"VH_MAX",24.166308775603
"VH_MEAN",21.8289828482527
"VH_MED",15.8370483541814
"VH_MIN",100
"VH_SUM",23.1339219857552
"VV_MAX",33.6064756369792
"VV_MEAN",0.652633171042282
"VV_MED",12.2179803664585
"VV_MIN",22.4303517221821
"VV_SUM",0
"VH_MAX_1",19.8288096640037
"VH_MEAN_1",12.2283098553703
"VH_MED_1",26.6604571219024
"VH_MIN_1",24.1586623292014
"VH_SUM_1",14.1966524820557
"VV_MAX_1",47.497904613902
"VV_MEAN_1",0.686946814835629
"VV_MED_1",14.5645571710613
"VV_MIN_1",20.7218365416847
"VV_SUM_1",14.9001453243021
