"","Overall"
"S2_B02",56.9944749307846
"S2_B03",55.802468106999
"S2_B04",83.2881740130408
"S2_B05",73.5425771570905
"S2_B06",22.2870799488379
"S2_B07",48.9253624418463
"S2_B08",45.2181856430791
"S2_B11",89.5024156691197
"S2_B12",96.2717973322106
"S2_B8A",40.0335302489719
"LS8_B01",43.3867956511195
"LS8_B02",53.1183299659335
"LS8_B03",58.2696732640701
"LS8_B04",73.478439604174
"LS8_B05",38.8304000376973
"LS8_B06",71.3709152813193
"LS8_B07",100
"VH_MAX",12.6731181094682
"VH_MAX_1",10.3356596305256
"d_VH_MAX",0
