"","Overall"
"S2_B02",26.9806118528863
"S2_B03",21.8009340163477
"S2_B04",44.7697863210993
"S2_B05",56.0422093288013
"S2_B06",6.63276218257401
"S2_B07",26.9169598441688
"S2_B08",32.6922476632889
"S2_B11",75.1676759740945
"S2_B12",100
"S2_B8A",26.1749951876119
"LS8_B01",12.6398366031002
"LS8_B02",13.1911292803144
"LS8_B03",15.7251489764876
"LS8_B04",50.3412162062594
"LS8_B05",21.8812099148811
"LS8_B06",45.0374823790887
"LS8_B07",46.9022608819449
"VH_MAX",0
"VH_MEAN",3.06598031794369
"VH_MED",2.73027920792253
"VH_MIN",6.63289869641838
"VH_SUM",5.01087336640705
"VH_MAX_1",0.504767706545415
"VH_MEAN_1",4.76680652886226
"VH_MED_1",3.53533511614898
"VH_MIN_1",1.73618129826514
"VH_SUM_1",3.26264031918878
