"","Overall"
"S2_B02",25.3571062313283
"S2_B03",20.3663940960042
"S2_B04",38.2361613580385
"S2_B05",58.7515948097758
"S2_B06",6.85449737882045
"S2_B07",28.195175911519
"S2_B08",28.5829292319502
"S2_B11",72.9828105408158
"S2_B12",100
"S2_B8A",25.3716246398827
"LS8_B01",5.85781231771328
"LS8_B02",12.5143146832287
"LS8_B03",13.6365883176582
"LS8_B04",33.5019411412802
"LS8_B05",24.8313418257807
"LS8_B06",27.396797044689
"LS8_B07",43.3662768724349
"VV_MAX",2.37583706046908
"VV_MEAN",0
"VV_MED",0.344119339423811
"VV_MIN",0.864887011297152
"VV_SUM",0.131359028699025
"VH_MAX_1",5.64774200151603
"VH_MEAN_1",7.35014528686169
"VH_MED_1",6.42589901372717
"VH_MIN_1",4.03486973420126
"VH_SUM_1",7.0002652009263
