"","Overall"
"S2_B02",43.7640052042458
"S2_B03",41.2119952397067
"S2_B04",78.6103687952898
"S2_B05",73.2117964090943
"S2_B06",10.8509976133463
"S2_B07",34.9169597942798
"S2_B08",29.6664329936796
"S2_B11",91.9087982006439
"S2_B12",100
"S2_B8A",27.5766964647202
"VH_MAX",0
"VH_MEAN",5.34418892478907
"VH_MED",0.0525325265442154
"VH_MIN",8.32408040394765
"VH_SUM",3.73750406218192
"VH_MAX_1",0.474126117480351
"VH_MEAN_1",1.9742619192061
"VH_MED_1",1.7754417819931
"VH_MIN_1",0.0255152846085093
"VH_SUM_1",3.75141633142174
