"","Overall"
"S2_B02",49.7552385494511
"S2_B03",44.0084268579765
"S2_B04",76.4014069470964
"S2_B05",77.967303412906
"S2_B06",14.339934473649
"S2_B07",43.7480064031551
"S2_B08",36.5638176086206
"S2_B11",100
"S2_B12",99.1992583457546
"S2_B8A",34.7604571534679
"LS8_B01",29.0911514281096
"LS8_B02",39.7485620092644
"LS8_B03",39.636213609404
"LS8_B04",68.4921954939893
"LS8_B05",39.5187351295618
"LS8_B06",80.7188933808408
"LS8_B07",72.0087091076584
"VV_MAX",0
"VV_MAX_1",3.49570387502913
"d_VV_MAX",4.83793874253763
