"","Overall"
"S2_B02",48.0124189936539
"S2_B03",52.0870568584998
"S2_B04",86.8656891507276
"S2_B05",77.0012213306697
"S2_B06",17.0371260410838
"S2_B07",47.558969835574
"S2_B08",39.9641676029452
"S2_B11",100
"S2_B12",95.7059614745856
"S2_B8A",41.4438827103998
"LS8_B01",38.8832605027765
"LS8_B02",33.5755632013236
"LS8_B03",59.4533202973882
"LS8_B04",62.151697559848
"LS8_B05",33.648809948125
"LS8_B06",86.4246128022511
"LS8_B07",84.8109491570323
"VH_MAX",6.70107184644963
"VH_MEAN",14.1645966624338
"VH_MED",5.75794787057032
"VH_MIN",21.6132278978711
"VH_SUM",11.5332508129881
"VV_MAX",3.07896959103568
"VV_MEAN",0
"VV_MED",0.269349819756676
"VV_MIN",1.23990344631779
"VV_SUM",1.32059616307092
