"","Overall"
"S2_B02",40.4775922757349
"S2_B03",33.5352123763489
"S2_B04",70.1500106398739
"S2_B05",67.9781117516197
"S2_B06",7.98835686070499
"S2_B07",31.0580852616792
"S2_B08",30.6762458692847
"S2_B11",83.174465862089
"S2_B12",100
"S2_B8A",25.1579305543344
"VH_MAX",3.27776857568128
"VH_MEAN",5.9037970169383
"VH_MED",2.33393966062417
"VH_MIN",10.6321001082526
"VH_SUM",4.56368649071761
"VV_MAX",2.25118963901601
"VV_MEAN",0.0280576940359737
"VV_MED",0.0240652378760051
"VV_MIN",0
"VV_SUM",0.181361815477993
"VH_MAX_1",3.41772354694913
"VH_MEAN_1",5.17366148256707
"VH_MED_1",4.39304979506813
"VH_MIN_1",3.45256182330174
"VH_SUM_1",4.89032397280744
"VV_MAX_1",1.49854858934035
"VV_MEAN_1",0.9380458538338
"VV_MED_1",1.06120079675702
"VV_MIN_1",0.299106789524572
"VV_SUM_1",0.6576864866698
"d_VH_MAX100",0.961971591202608
"d_VH_MEAN100",0.289804879350045
"d_VH_MED100",2.8494258354877
"d_VH_MIN100",1.20299214802069
"d_VH_SUM100",0.573547573689817
"d_VV_MAX100",2.00930869076627
"d_VV_MEAN100",0.66605560270975
"d_VV_MED100",0.547209479130029
"d_VV_MIN100",1.14615675188231
"d_VV_SUM100",0.382461106371981
