"","Overall"
"S2_B02",22.4975305823491
"S2_B03",19.4637308474746
"S2_B04",31.8991239104973
"S2_B05",57.9092181428106
"S2_B06",1.35443940540946
"S2_B07",26.6412032403358
"S2_B08",29.8975740220487
"S2_B11",85.9516544783618
"S2_B12",100
"S2_B8A",26.1314428890507
"LS8_B01",0
"LS8_B02",9.44733433674062
"LS8_B03",8.4893778797875
"LS8_B04",32.3567934651121
"LS8_B05",23.9380643832199
"LS8_B06",22.6147140394389
"LS8_B07",35.0313568910014
"VH_MAX",0.405785153733337
"VH_MEAN",3.73285564547183
"VH_MED",1.08515855302421
"VH_MIN",8.46105195520577
"VH_SUM",4.18927191521245
