"","Overall"
"S2_B02",46.1152225503586
"S2_B03",49.724320935761
"S2_B04",76.985696577077
"S2_B05",69.1445994861549
"S2_B06",18.7801976663692
"S2_B07",40.3755114226147
"S2_B08",39.7624153993271
"S2_B11",100
"S2_B12",99.9582667162394
"S2_B8A",40.3309499856569
"LS8_B01",30.1941613104036
"LS8_B02",35.5947375861851
"LS8_B03",44.7249423586616
"LS8_B04",75.1888844251011
"LS8_B05",36.9746795513246
"LS8_B06",73.0719806073733
"LS8_B07",77.4031724752125
"d_VH_MAX",0
"d_VH_MEAN",2.05219089764654
"d_VH_MED",5.01387863166749
"d_VH_MIN",3.07008095121707
"d_VH_SUM",2.5217130597145
