"","Overall"
"S2_B02",37.4444284009688
"S2_B03",38.8655894900198
"S2_B04",63.0206494611321
"S2_B05",67.9176730212572
"S2_B06",12.3104716540585
"S2_B07",37.8578525239896
"S2_B08",33.0382751825037
"S2_B11",100
"S2_B12",96.1952250582644
"S2_B8A",34.8161111550132
"LS8_B01",20.4241470069085
"LS8_B02",27.9364049682017
"LS8_B03",30.7283104509752
"LS8_B04",50.7690135057671
"LS8_B05",28.0593680767788
"LS8_B06",54.7843231806241
"LS8_B07",64.8349219666251
"VH_MAX",6.0977676215394
"VH_MEAN",9.01119970376139
"VH_MED",4.56146474145551
"VH_MIN",14.1067002904281
"VH_SUM",10.0127704222379
"VV_MAX_1",2.74581320656913
"VV_MEAN_1",0.841323588173241
"VV_MED_1",1.9188351681359
"VV_MIN_1",0
"VV_SUM_1",0.320586291531163
