"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.909090909090909,0.972602739726027,0.9375,0.959459459459459,0.9375,0.909090909090909,0.923076923076923,0.311320754716981,0.283018867924528,0.30188679245283,0.940846824408468
"Class: 2",0.583333333333333,0.926829268292683,0.7,0.883720930232558,0.7,0.583333333333333,0.636363636363636,0.226415094339623,0.132075471698113,0.188679245283019,0.755081300813008
"Class: 3",0.758620689655172,0.87012987012987,0.6875,0.905405405405405,0.6875,0.758620689655172,0.721311475409836,0.273584905660377,0.207547169811321,0.30188679245283,0.814375279892521
"Class: 4",0.55,0.872093023255814,0.5,0.892857142857143,0.5,0.55,0.523809523809524,0.188679245283019,0.10377358490566,0.207547169811321,0.711046511627907
