"","Overall"
"S2_B02",36.5629619845846
"S2_B03",34.0224108406004
"S2_B04",69.9412369433428
"S2_B05",82.2598552693605
"S2_B06",11.9304723679319
"S2_B07",31.9491270583292
"S2_B08",29.9573910210384
"S2_B11",77.9783437264833
"S2_B12",100
"S2_B8A",32.1144802629519
"VH_MAX",4.62899271579147
"VH_MEAN",7.90135571433005
"VH_MED",4.16805007770016
"VH_MIN",11.862417315183
"VH_SUM",8.32790156593886
"VV_MAX",3.37456828004685
"VV_MEAN",0.374188503595064
"VV_MED",0.374246149251366
"VV_MIN",0.685917089496225
"VV_SUM",0
