"","Overall"
"S2_B02",22.3243307428402
"S2_B03",20.9462404258889
"S2_B04",39.1056801306361
"S2_B05",51.9235823780273
"S2_B06",3.72844935138612
"S2_B07",27.4070788485509
"S2_B08",30.5266822738574
"S2_B11",73.4333032764103
"S2_B12",100
"S2_B8A",21.9447995553071
"LS8_B01",6.7696638955187
"LS8_B02",9.77008743056121
"LS8_B03",12.4401497619852
"LS8_B04",29.6277380882236
"LS8_B05",23.1174350086675
"LS8_B06",29.0412660212062
"LS8_B07",34.9103138533719
"VH_MAX",2.23611711302127
"VH_MEAN",5.87377312356019
"VH_MED",3.40725587236031
"VH_MIN",6.72474214963087
"VH_SUM",4.10966604166018
"VV_MAX",1.60632325280517
"VV_MEAN",0.222444176740996
"VV_MED",0.312814010617513
"VV_MIN",0.50509399866316
"VV_SUM",0
"VH_MAX_1",2.22639630690043
"VH_MEAN_1",3.82020906688604
"VH_MED_1",4.86627850714959
"VH_MIN_1",2.71477921201554
"VH_SUM_1",4.77810114760324
"VV_MAX_1",1.48540279286303
"VV_MEAN_1",0.671210109413357
"VV_MED_1",0.993997335439266
"VV_MIN_1",0.0645739162325903
"VV_SUM_1",0.683180591340307
"d_VH_MAX",0.263464536732754
"d_VH_MEAN",0.738304241543922
"d_VH_MED",2.51177320308827
"d_VH_MIN",1.00591235553711
"d_VH_SUM",0.634082669767039
"d_VV_MAX",2.45030224701911
"d_VV_MEAN",0.326224511808056
"d_VV_MED",0.929454642151999
"d_VV_MIN",1.48776485199945
"d_VV_SUM",0.247152176861781
