"","Overall"
"S2_B02",45.1176296869627
"S2_B03",42.9866943340205
"S2_B04",85.9927873500499
"S2_B05",73.5061379897236
"S2_B06",15.6439333235632
"S2_B07",42.8230385421447
"S2_B08",39.5426864364866
"S2_B11",100
"S2_B12",91.56194016881
"S2_B8A",32.6391818791233
"LS8_B01",39.2077348106416
"LS8_B02",43.2065667692005
"LS8_B03",45.2421736413535
"LS8_B04",68.4417868104014
"LS8_B05",33.7549224506391
"LS8_B06",69.6823365741719
"LS8_B07",71.577943841232
"VH_MIN",20.3623470795202
"VH_MIN_1",10.6151165773618
"d_VH_MIN",0
