"","Overall"
"S2_B02",41.1594171134413
"S2_B03",47.0681769921875
"S2_B04",80.094954760344
"S2_B05",65.1499664391628
"S2_B06",14.5131848737508
"S2_B07",39.2916259048196
"S2_B08",40.3465640402416
"S2_B11",100
"S2_B12",87.2074205356062
"S2_B8A",30.8761178215523
"LS8_B01",33.4608483487357
"LS8_B02",38.9962540111254
"LS8_B03",35.6527893915126
"LS8_B04",71.0908057991172
"LS8_B05",34.3981829898253
"LS8_B06",70.4569027638263
"LS8_B07",70.8079460121889
"VV_MAX",4.52525623565875
"VV_MEAN",0.411763418583155
"VV_MED",0
"VV_MIN",2.105917986756
"VV_SUM",0.0374946323556312
