"","x"
"Accuracy",0.707547169811321
"Kappa",0.605616898703793
"AccuracyLower",0.611255161280042
"AccuracyUpper",0.791881185461689
"AccuracyNull",0.311320754716981
"AccuracyPValue",6.4023952409632e-17
"McnemarPValue",NA
