"","Overall"
"S2_B02",32.4858864148247
"S2_B03",32.0746290999668
"S2_B04",54.5679055143513
"S2_B05",65.0311556144218
"S2_B06",11.1536823664988
"S2_B07",35.9546828190985
"S2_B08",27.0200346519357
"S2_B11",84.3176913926637
"S2_B12",100
"S2_B8A",34.3935404580258
"LS8_B01",13.8753145907589
"LS8_B02",16.7008869363975
"LS8_B03",19.5339378482054
"LS8_B04",49.7521560343679
"LS8_B05",28.6277188533672
"LS8_B06",52.5967018910187
"LS8_B07",46.3148896261851
"VV_MAX",3.14918502790395
"VV_MEAN",0
"VV_MED",0.466464844377647
"VV_MIN",1.36141096971535
"VV_SUM",0.346517036329282
